method,alpha,nominal_coverage,empirical_coverage,mean_width,median_width,n
cqr,0.2,0.8,0.807843137254902,4.474365234375,4.582715034484863,765
cqr,0.1,0.9,0.8967320261437909,6.842686653137207,7.549175262451172,765
cqr,0.05,0.95,0.9320261437908497,9.824586868286133,9.815232276916504,765
normalized_conformal,0.2,0.8,0.8156862745098039,3.011076213483392,2.8877851728120154,765
normalized_conformal,0.1,0.9,0.9137254901960784,4.374762365982253,4.195634052199736,765
normalized_conformal,0.05,0.95,0.9503267973856209,5.582340358720718,5.353766751341883,765
split_conformal,0.2,0.8,0.8052287581699347,3.4430686950683587,3.4430686950683587,765
split_conformal,0.1,0.9,0.9058823529411765,5.053971519470217,5.053971519470216,765
split_conformal,0.05,0.95,0.9490196078431372,6.88690034866333,6.886900348663331,765
