ad_method,threshold,frac_in_domain,n_in,mae_in,rmse_in,r2_in,n_out,mae_out,rmse_out,r2_out,mae_ratio_out_in
knn_distance,34.27556654223411,0.9529411764705882,729,1.0043927140605466,1.5993517099871823,0.7791956678662757,36,1.6029448363516066,2.227081507242642,0.4297886505362354,1.5959343530791266
tanimoto,0.32033962264150945,0.9490196078431372,726,1.002605242845769,1.610234487841326,0.7758459312889423,39,1.5901768295581524,2.030986131853372,0.5947017046914544,1.586044797695886
