ad_method,interval_method,alpha,nominal,coverage_in,coverage_out,width_in,width_out
knn_distance,split_conformal,0.1,0.9,0.9108367626886146,0.8055555555555556,5.053971519470216,5.053971519470216
knn_distance,normalized_conformal,0.1,0.9,0.9176954732510288,0.8333333333333334,4.345392441440621,4.969503337950298
knn_distance,cqr,0.1,0.9,0.897119341563786,0.8888888888888888,6.851071357727051,6.672906875610352
tanimoto,split_conformal,0.1,0.9,0.9104683195592287,0.8205128205128205,5.053971519470217,5.053971519470217
tanimoto,normalized_conformal,0.1,0.9,0.9146005509641874,0.8974358974358975,4.328578205283517,5.234498280527958
tanimoto,cqr,0.1,0.9,0.8994490358126722,0.8461538461538461,6.802000045776367,7.60009765625
