model,status,n_features,train_n,train_r2,train_rmse,train_mae,test_n,test_r2,test_rmse,test_mae
elasticnet,ok,1133,2293,0.8657035758824481,1.2411427192545117,0.8662892391564664,765,-0.14907169640988394,3.634594503920248,1.510120813724756
random_forest,ok,1133,2293,0.97009818583664,0.5856501630536873,0.36443691791442584,765,0.776252511286015,1.6038416470862156,1.0010021060275958
xgboost,ok,1133,2293,0.9998213637772001,0.045266223466469385,0.034345705329566045,765,0.8289362494684014,1.402366073587183,0.873643584616044
lightgbm,ok,1133,2293,0.9977894934974096,0.159233850798948,0.1072278788897319,765,0.8356356748785095,1.3746311538315092,0.8681075008115618
catboost,ok,1133,2293,0.9528836890296181,0.7351486080221833,0.5333325017469972,765,0.8096537022865646,1.479294419401648,0.9724494613677722
