top_k,cv_r2_mean,cv_r2_std,folds
4,0.0004536535320994739,0.0730468532677305,"[0.07622754853746527, -0.04771654461292196, -0.0936611387349029, 0.06696474893875748]"
6,0.08439289619018428,0.0730878951460326,"[0.1244274334613662, 0.014988516555218157, 0.013882935600220803, 0.18427269914393196]"
8,0.12875346143300165,0.13093177884288457,"[0.30733585970339816, -0.05497273478565101, 0.0931657917106643, 0.16948492910359514]"
