class,n_train,n_test,test_r2,test_rmse,test_mae,complexity,formula,oracle_r2,source
carboxylic_acid,680,221,0.376171435931157,0.7484533724078013,0.5385359147545753,6,square(0.6429641 / MinAbsPartialCharge) + BCUT2D_MRLOW,0.4792964490112678,per_class_pysr
phenol,560,197,0.4808285749428701,1.9394219197615672,1.4008402803172368,4,square(1.1963147 / BCUTc-1h),0.5390885252397721,per_class_pysr
other,397,138,0.0759068390609503,3.365455970514927,2.7340220240696977,3,3.1398191 / BCUTc-1h,0.17824738268818896,per_class_pysr
aromatic_N,260,96,0.2584646414984756,3.003851237488359,2.3587621744136436,4,cube(1.64188 / ETA_epsilon_5),0.40200657228294834,per_class_pysr
aniline,163,48,-0.11895021350840995,3.3828468173747366,2.5234793192699887,13,(MinAbsEStateIndex / BCUT2D_MRLOW) + (((PEOE_VSA11 + 4.4941545) * (AETA_eta - GATS2Z)) + 9.401169),0.23013099303192786,per_class_pysr
imidazole_like,84,23,-0.9871956961274155,2.614103623889346,1.7146010140668493,17,tanh(-1.0586104 / (AATSC0i - 1.7627901)) + (1.7120037 * (8.926402 - square(MinPartialCharge - (BCUTc-1h * -4.913504)))),0.39745815496711023,per_class_pysr
thiol,79,19,0.5781714805860856,2.0944517140271883,1.698114585534213,11,(tanh(BCUT2D_MRLOW + square(ATSC4pe)) + (115.10691 / AATS2m)) * 3.2906265,0.6540266027940644,per_class_pysr
<rare:global_fallback>,2321,32,0.25311370787245346,,,3,2.9682062 / BCUTc-1h,,global_fallback
