CATION_ANION TEMP PRESSURE xCO2
C0505_A0087 283.10  0.10 0.1920
C0505_A0087 283.10  0.50 0.2730
C0505_A0087 283.10  1.00 0.3070
C0505_A0087 283.10  4.00 0.3570
C0505_A0087 283.10  6.99 0.3930
C0505_A0087 298.10  0.10 0.1880
C0505_A0087 298.10  0.50 0.2520
C0505_A0087 298.10  1.00 0.2740
C0505_A0087 298.10  4.00 0.3240
C0505_A0087 298.10  7.00 0.3550
C0505_A0087 298.10  10.00 0.3810
C0505_A0087 298.10  15.00 0.4200
C0505_A0087 298.10  19.99 0.4550
C0505_A0087 298.20  13.00 0.4050
C0505_A0087 323.10  0.10 0.1080
C0505_A0087 323.10  0.50 0.1760
C0505_A0087 323.10  1.00 0.2040
C0505_A0087 323.10  4.00 0.2630
C0505_A0087 323.10  10.00 0.3150
C0505_A0087 323.10  13.00 0.3340
C0505_A0087 323.10  15.00 0.3460
C0505_A0087 323.20  7.00 0.2920
C0505_A0087 323.20  19.99 0.3730
C0505_A0087 348.10  0.10 0.0630
C0505_A0087 348.10  0.51 0.1290
C0505_A0087 348.10  1.00 0.1610
C0505_A0087 348.10  4.00 0.2260
C0505_A0087 348.10  6.99 0.2530
C0505_A0087 348.10  10.00 0.2720
C0505_A0087 348.10  12.99 0.2870
C0505_A0087 348.10  15.00 0.2940
C0505_A0087 348.20  19.99 0.3160
C0505_A0087 298.10  0.10 0.1620
C0505_A0087 298.00  0.50 0.2510
C0505_A0087 298.20  1.00 0.2750
C0505_A0087 298.10  3.99 0.3260
C0505_A0087 298.10  7.00 0.3570
C0505_A0087 298.10  10.00 0.3830
C0505_A0087 298.30  13.00 0.4060
C0505_A0087 298.10  15.00 0.4200
C0505_A0087 298.10  19.99 0.4550
C0505_A0087 323.05  2.30 0.2010
C0505_A0087 333.07  3.55 0.2010
C0505_A0087 343.18  6.52 0.2010
C0505_A0087 353.10  9.71 0.2010
C0505_A0087 313.09  4.98 0.2510
C0505_A0087 322.96  8.30 0.2510
C0505_A0087 333.30  12.75 0.2510
C0505_A0087 343.05  16.95 0.2510
C0505_A0087 353.20  22.35 0.2510
C0505_A0087 313.04  13.98 0.3000
C0505_A0087 323.22  19.23 0.3000
C0505_A0087 333.33  25.15 0.3000
C0505_A0087 343.10  32.05 0.3000
C0505_A0087 352.98  39.80 0.3000
C0505_A0087 313.04  25.89 0.3510
C0505_A0087 322.83  33.60 0.3510
C0505_A0087 333.42  42.88 0.3510
C0505_A0087 343.22  52.65 0.3510
C0505_A0087 353.22  64.30 0.3510
C0505_A0087 313.07  40.90 0.4020
C0505_A0087 323.57  52.72 0.4020
C0505_A0087 333.35  65.80 0.4020
C0505_A0087 343.16  80.60 0.4020
C0505_A0087 353.24  98.50 0.4020
C0505_A0087 313.09  57.30 0.4500
C0505_A0087 323.00  73.94 0.4500
C0505_A0087 333.27  95.64 0.4500
C0505_A0087 343.06  121.88 0.4500
C0505_A0087 353.18  152.81 0.4500
C0505_A0087 322.98  134.78 0.5000
C0505_A0087 333.06  180.51 0.5000
C0505_A0087 343.10  229.85 0.5000
C0505_A0087 353.13  280.55 0.5000
C0505_A0087 313.31  279.65 0.5500
C0505_A0087 323.40  348.65 0.5500
C0505_A0087 333.37  418.07 0.5500
C0505_A0087 343.25  481.07 0.5500
C0505_A0087 353.05  539.04 0.5500
C0505_A0087 313.10  673.71 0.5990
C0505_A0087 323.09  755.26 0.5990
C0505_A0020 303.72  0.18 0.0030
C0505_A0020 303.72  0.37 0.0058
C0505_A0020 303.72  0.39 0.0065
C0505_A0020 303.72  0.73 0.0133
C0505_A0020 303.72  0.77 0.0127
C0505_A0020 313.89  0.18 0.0027
C0505_A0020 313.89  0.39 0.0054
C0505_A0020 313.89  0.41 0.0059
C0505_A0020 313.89  0.76 0.0122
C0505_A0020 324.12  0.19 0.0026
C0505_A0020 324.12  0.40 0.0051
C0505_A0020 324.12  0.42 0.0056
C0505_A0020 324.12  0.78 0.0110
C0505_A0020 334.38  0.20 0.0024
C0505_A0020 334.38  0.41 0.0049
C0505_A0020 334.38  0.44 0.0054
C0505_A0020 334.38  0.82 0.0098
C0505_A0020 344.49  0.20 0.0024
C0505_A0020 344.49  0.43 0.0047
C0505_A0020 344.49  0.45 0.0051
C0505_A0020 344.49  0.84 0.0097
C0505_A0020 298.20  12.09 0.1928
C0505_A0020 313.30  12.74 0.1370
C0505_A0020 333.30  14.22 0.0928
C0505_A0020 298.20  22.25 0.3188
C0505_A0020 313.30  22.05 0.2226
C0505_A0020 333.30  24.56 0.1456
C0505_A0020 298.20  31.83 0.4112
C0505_A0020 313.30  31.44 0.2863
C0505_A0020 333.30  35.01 0.2045
C0505_A0020 298.20  42.10 0.4902
C0505_A0020 313.30  41.70 0.3489
C0505_A0020 298.20  51.21 0.5138
C0505_A0020 333.30  48.60 0.2660
C0505_A0020 313.30  52.78 0.4004
C0505_A0020 313.30  63.17 0.4475
C0505_A0020 333.30  60.96 0.3173
C0505_A0020 313.30  74.24 0.4826
C0505_A0020 313.30  84.02 0.5289
C0505_A0020 333.30  72.32 0.3765
C0505_A0020 333.30  85.00 0.4483
C0505_A0020 283.15  0.00 0.0000
C0505_A0020 283.15  0.05 0.0006
C0505_A0020 283.15  0.10 0.0017
C0505_A0020 283.15  0.50 0.0089
C0505_A0020 283.15  1.00 0.0197
C0505_A0020 283.15  2.50 0.0506
C0505_A0020 283.15  4.00 0.0831
C0505_A0020 283.15  5.50 0.1150
C0505_A0020 283.15  7.00 0.1440
C0505_A0020 283.15  8.50 0.1710
C0505_A0020 283.15  10.00 0.1960
C0505_A0020 283.15  11.00 0.2130
C0505_A0020 283.15  12.00 0.2280
C0505_A0020 283.15  13.00 0.2430
C0505_A0020 283.15  13.00 0.2430
C0505_A0020 283.15  11.00 0.2200
C0505_A0020 283.15  9.00 0.1900
C0505_A0020 283.15  6.00 0.1400
C0505_A0020 283.15  5.00 0.1170
C0505_A0020 298.15  0.00 0.0000
C0505_A0020 298.15  0.02 0.0005
C0505_A0020 298.15  0.05 0.0004
C0505_A0020 298.15  0.10 0.0012
C0505_A0020 298.15  0.50 0.0077
C0505_A0020 298.15  1.00 0.0161
C0505_A0020 298.15  2.50 0.0405
C0505_A0020 298.15  4.00 0.0649
C0505_A0020 298.15  5.50 0.0877
C0505_A0020 298.15  7.00 0.1100
C0505_A0020 298.15  8.50 0.1300
C0505_A0020 298.15  10.00 0.1490
C0505_A0020 298.15  11.00 0.1610
C0505_A0020 298.15  12.00 0.1730
C0505_A0020 298.15  13.00 0.1850
C0505_A0020 298.15  13.00 0.1850
C0505_A0020 298.15  11.00 0.1640
C0505_A0020 298.15  9.00 0.1390
C0505_A0020 298.15  0.00 0.0000
C0505_A0020 298.15  0.05 0.0002
C0505_A0020 298.15  0.10 0.0010
C0505_A0020 298.15  0.50 0.0057
C0505_A0020 298.15  1.00 0.0134
C0505_A0020 298.15  2.50 0.0350
C0505_A0020 298.15  4.00 0.0588
C0505_A0020 298.15  5.50 0.0818
C0505_A0020 298.15  7.00 0.1040
C0505_A0020 298.15  8.50 0.1250
C0505_A0020 298.15  10.00 0.1450
C0505_A0020 298.15  11.00 0.1580
C0505_A0020 298.15  12.00 0.1700
C0505_A0020 298.15  13.00 0.1820
C0505_A0020 298.15  13.00 0.1820
C0505_A0020 298.15  11.00 0.1670
C0505_A0020 298.15  6.00 0.1080
