CATION_ANION TEMP PRESSURE xCO2
C0505_A0011 297.56  58.40 0.5813
C0505_A0011 297.56  60.40 0.5910
C0505_A0011 304.38  8.60 0.1411
C0505_A0011 304.38  11.30 0.1783
C0505_A0011 304.38  34.70 0.4123
C0505_A0011 304.38  39.90 0.4515
C0505_A0011 304.38  48.00 0.5061
C0505_A0011 304.38  62.50 0.5647
C0505_A0011 304.38  64.40 0.5755
C0505_A0011 308.60  9.30 0.1402
C0505_A0011 308.60  12.10 0.1750
C0505_A0011 308.60  37.00 0.4011
C0505_A0011 308.60  42.50 0.4384
C0505_A0011 308.60  51.20 0.4921
C0505_A0011 308.60  66.60 0.5522
C0505_A0011 308.60  68.70 0.5621
C0505_A0011 314.25  10.00 0.1318
C0505_A0011 314.25  13.10 0.1661
C0505_A0011 314.25  39.30 0.3800
C0505_A0011 314.25  45.20 0.4150
C0505_A0011 314.25  54.40 0.4634
C0505_A0011 314.25  70.60 0.5248
C0505_A0011 314.25  72.90 0.5323
C0505_A0011 319.06  10.70 0.1351
C0505_A0011 319.06  13.90 0.1621
C0505_A0011 319.06  41.50 0.3719
C0505_A0011 319.06  47.70 0.4094
C0505_A0011 319.06  57.30 0.4603
C0505_A0011 319.06  74.70 0.5226
C0505_A0011 319.06  76.90 0.5271
C0505_A0011 322.52  11.30 0.1220
C0505_A0011 322.52  14.50 0.1563
C0505_A0011 322.52  43.60 0.3508
C0505_A0011 322.52  49.90 0.3886
C0505_A0011 322.52  60.20 0.4323
C0505_A0011 322.52  78.50 0.4967
C0505_A0011 322.52  80.80 0.5041
C0505_A0011 298.15  5.29 0.0990
C0505_A0011 298.15  5.82 0.1040
C0505_A0011 298.15  6.66 0.1220
C0505_A0011 298.15  6.67 0.1180
C0505_A0011 283.15  0.69 0.0263
C0505_A0011 293.17  0.72 0.0213
C0505_A0011 303.37  0.79 0.0174
C0505_A0011 303.38  0.38 0.0174
C0505_A0011 303.38  0.76 0.0174
C0505_A0011 313.29  0.41 0.0146
C0505_A0011 313.29  0.82 0.0146
C0505_A0011 323.20  0.83 0.0124
C0505_A0011 323.28  0.43 0.0124
C0505_A0011 325.64  0.86 0.0118
C0505_A0011 333.07  0.89 0.0105
C0505_A0011 333.09  0.45 0.0106
C0505_A0011 342.99  0.92 0.0091
C0505_A0011 343.04  0.46 0.0091
C0505_A0011 298.00  0.11 0.0010
C0505_A0011 298.10  0.50 0.0090
C0505_A0011 298.20  1.00 0.0190
C0505_A0011 298.00  4.00 0.0700
C0505_A0011 298.00  7.00 0.1180
C0505_A0011 298.10  10.00 0.1610
C0505_A0011 298.10  13.00 0.2020
C0505_A0011 298.10  15.00 0.2290
C0505_A0011 298.10  20.00 0.2860
C0505_A0011 298.15  2.60 0.0630
C0505_A0011 298.15  4.00 0.0740
C0505_A0011 298.15  7.50 0.1410
C0505_A0011 298.15  10.40 0.1770
C0505_A0011 298.15  13.40 0.2120
C0505_A0011 298.15  25.00 0.3580
C0505_A0011 298.15  32.10 0.4160
C0505_A0011 298.15  36.50 0.4600
C0505_A0011 298.15  40.20 0.4920
C0505_A0011 313.50  0.64 0.0100
C0505_A0011 313.30  1.03 0.0162
C0505_A0011 312.30  0.97 0.0133
C0505_A0011 313.00  1.49 0.0203
C0505_A0011 322.70  1.62 0.0189
C0505_A0011 332.70  1.46 0.0151
C0505_A0011 298.30  1.09 0.0197
C0505_A0011 298.80  1.49 0.0271
C0505_A0011 313.60  1.71 0.0239
C0505_A0011 323.60  1.86 0.0223
C0505_A0011 334.40  0.78 0.0077
C0505_A0011 334.00  1.53 0.0166
C0505_A0011 344.70  1.63 0.0144
C0505_A0011 352.50  1.71 0.0136
C0505_A0011 354.70  0.73 0.0056
C0505_A0011 354.90  1.56 0.0123
C0505_A0011 353.80  1.81 0.0145
C0505_A0011 342.40  1.69 0.0157
C0505_A0011 332.30  1.58 0.0168
C0505_A0011 334.30  1.80 0.0186
C0505_A0011 318.00  4.95 0.0282
C0505_A0011 318.00  9.95 0.0835
C0505_A0011 318.00  14.95 0.1358
C0505_A0011 318.00  19.95 0.1842
C0505_A0011 318.00  24.95 0.2267
C0505_A0011 318.00  29.95 0.2647
C0505_A0011 318.00  34.95 0.2990
C0505_A0011 318.00  39.96 0.3308
C0505_A0011 318.00  44.95 0.3586
C0505_A0011 318.00  49.95 0.3853
C0505_A0011 318.00  74.96 0.4741
C0505_A0011 318.00  99.96 0.5225
C0505_A0011 318.00  124.96 0.5260
C0505_A0011 318.00  149.96 0.5317
C0505_A0011 318.00  174.95 0.5375
C0505_A0011 318.00  199.95 0.5428
C0505_A0011 338.00  0.98 0.0006
C0505_A0011 338.00  4.95 0.0346
C0505_A0011 338.00  9.95 0.0761
C0505_A0011 338.00  14.95 0.1153
C0505_A0011 338.00  19.95 0.1509
C0505_A0011 338.00  24.95 0.1839
C0505_A0011 338.00  29.95 0.2137
C0505_A0011 338.00  34.95 0.2416
C0505_A0011 338.00  39.95 0.2677
C0505_A0011 338.00  44.95 0.2916
C0505_A0011 338.00  49.95 0.3137
C0505_A0011 338.00  74.95 0.3976
C0505_A0011 338.00  99.95 0.4518
C0505_A0011 338.00  124.95 0.4812
C0505_A0011 338.00  149.94 0.4924
C0505_A0011 338.00  174.92 0.4966
C0505_A0011 338.00  199.91 0.4997
C0505_A0199 298.10  0.10 0.1340
C0505_A0199 298.10  0.50 0.1970
C0505_A0199 298.20  1.00 0.2180
C0505_A0199 298.20  3.99 0.2660
C0505_A0199 298.10  7.00 0.2960
C0505_A0199 298.10  10.00 0.3210
C0505_A0199 298.20  12.99 0.3440
C0505_A0199 298.20  15.00 0.3600
C0505_A0199 298.20  19.99 0.3930
C0505_A0015 292.35  10.50 0.1260
C0505_A0015 303.25  13.10 0.1260
C0505_A0015 312.95  16.00 0.1260
C0505_A0015 323.15  19.20 0.1260
C0505_A0015 333.75  23.10 0.1260
C0505_A0015 343.55  26.80 0.1260
C0505_A0015 353.55  30.50 0.1260
C0505_A0015 363.35  35.50 0.1260
C0505_A0015 372.95  40.80 0.1260
C0505_A0015 381.75  44.60 0.1260
C0505_A0015 293.65  20.00 0.1990
C0505_A0015 303.15  24.50 0.1990
C0505_A0015 312.75  28.60 0.1990
C0505_A0015 323.15  32.00 0.1990
C0505_A0015 333.15  36.10 0.1990
C0505_A0015 342.55  39.90 0.1990
C0505_A0015 352.85  44.50 0.1990
C0505_A0015 363.15  49.90 0.1990
C0505_A0015 373.35  56.00 0.1990
C0505_A0015 382.65  61.70 0.1990
C0505_A0015 293.05  28.50 0.2540
C0505_A0015 302.55  32.50 0.2540
C0505_A0015 312.45  37.00 0.2540
C0505_A0015 324.65  43.80 0.2540
C0505_A0015 333.65  49.50 0.2540
C0505_A0015 343.75  56.10 0.2540
C0505_A0015 352.95  62.00 0.2540
C0505_A0015 363.15  68.50 0.2540
C0505_A0015 373.15  74.00 0.2540
C0505_A0015 381.95  79.80 0.2540
C0505_A0015 293.35  43.50 0.2960
C0505_A0015 303.35  48.00 0.2960
C0505_A0015 313.15  52.50 0.2960
C0505_A0015 323.65  58.00 0.2960
C0505_A0015 333.55  64.00 0.2960
C0505_A0015 343.45  71.00 0.2960
C0505_A0015 353.15  78.00 0.2960
C0505_A0015 362.45  88.00 0.2960
C0505_A0015 372.55  96.00 0.2960
C0505_A0015 383.15  104.00 0.2960
C0505_A0015 302.95  55.00 0.3370
C0505_A0015 312.75  59.00 0.3370
C0505_A0015 322.75  65.00 0.3370
C0505_A0015 332.95  73.00 0.3370
C0505_A0015 344.15  80.00 0.3370
C0505_A0015 353.15  88.00 0.3370
C0505_A0015 361.45  96.70 0.3370
C0505_A0015 373.15  106.70 0.3370
C0505_A0015 384.15  121.10 0.3370
C0505_A0015 313.65  99.00 0.4300
C0505_A0015 323.15  128.00 0.4300
C0505_A0015 333.15  167.00 0.4300
C0505_A0015 344.15  205.00 0.4300
C0505_A0015 353.15  242.00 0.4300
C0505_A0015 361.45  275.00 0.4300
C0505_A0015 373.15  315.00 0.4300
C0505_A0201 298.10  0.10 0.0010
C0505_A0201 298.10  0.50 0.0120
C0505_A0201 298.10  1.00 0.0230
C0505_A0201 298.10  4.00 0.0510
C0505_A0201 298.10  7.00 0.0860
C0505_A0201 298.10  10.00 0.1240
C0505_A0201 298.10  13.00 0.1610
C0505_A0201 298.10  15.00 0.1890
C0505_A0201 298.10  20.00 0.2320
C0505_A0048 298.10  59.20 0.7188
C0505_A0048 298.20  11.38 0.2682
C0505_A0048 298.20  11.63 0.2715
C0505_A0048 298.20  11.65 0.2525
C0505_A0048 298.20  18.68 0.3624
C0505_A0048 298.20  20.84 0.4114
C0505_A0048 298.20  22.24 0.4218
C0505_A0048 298.20  22.28 0.4034
C0505_A0048 298.20  29.50 0.5138
C0505_A0048 298.20  31.69 0.5245
C0505_A0048 298.20  33.59 0.5307
C0505_A0048 298.20  33.96 0.5340
C0505_A0048 298.20  42.72 0.6198
C0505_A0048 298.20  44.27 0.6181
C0505_A0048 298.20  46.67 0.6356
C0505_A0048 298.20  46.94 0.6491
C0505_A0048 298.20  58.76 0.7060
C0505_A0048 298.20  60.35 0.7168
C0505_A0048 313.20  16.10 0.2383
C0505_A0048 313.20  32.48 0.4274
C0505_A0048 313.20  47.45 0.5430
C0505_A0048 313.20  63.59 0.6335
C0505_A0048 313.20  78.45 0.7128
C0505_A0048 313.30  13.89 0.2586
C0505_A0048 313.30  17.21 0.2687
C0505_A0048 313.30  24.29 0.3728
C0505_A0048 313.30  32.76 0.4384
C0505_A0048 313.30  40.19 0.5194
C0505_A0048 313.30  48.21 0.5539
C0505_A0048 313.30  52.73 0.5773
C0505_A0048 313.30  64.80 0.6473
C0505_A0048 313.30  71.29 0.6630
C0505_A0048 313.30  76.73 0.6823
C0505_A0048 313.30  89.97 0.7072
C0505_A0048 313.30  110.25 0.7420
C0505_A0048 313.30  132.43 0.7521
C0505_A0048 333.30  13.64 0.1759
C0505_A0048 333.30  18.12 0.2498
C0505_A0048 333.30  20.48 0.2579
C0505_A0048 333.30  25.08 0.3109
C0505_A0048 333.30  34.23 0.4128
C0505_A0048 333.30  38.84 0.4105
C0505_A0048 333.30  39.67 0.4218
C0505_A0048 333.30  49.50 0.4752
C0505_A0048 333.30  52.62 0.4876
C0505_A0048 333.30  56.01 0.5066
C0505_A0048 333.30  63.18 0.5340
C0505_A0048 333.30  66.80 0.5425
C0505_A0048 333.30  70.81 0.5723
C0505_A0048 333.30  77.20 0.5859
C0505_A0048 333.30  80.97 0.6194
C0505_A0048 333.30  87.14 0.6487
C0505_A0048 333.30  94.44 0.6609
C0505_A0048 333.30  111.12 0.6894
C0505_A0048 333.30  130.19 0.7189
C0505_A0048 283.15  0.00 0.0000
C0505_A0048 283.15  0.01 0.0004
C0505_A0048 283.15  0.05 0.0021
C0505_A0048 283.15  0.10 0.0044
C0505_A0048 283.15  0.50 0.0196
C0505_A0048 283.15  1.00 0.0397
C0505_A0048 283.15  2.50 0.0941
C0505_A0048 283.15  4.00 0.1460
C0505_A0048 283.15  5.50 0.1930
C0505_A0048 283.15  7.00 0.2350
C0505_A0048 283.15  8.50 0.2740
C0505_A0048 283.15  10.00 0.3090
C0505_A0048 283.15  11.00 0.3310
C0505_A0048 283.15  12.00 0.3520
C0505_A0048 283.15  13.00 0.3720
C0505_A0048 283.15  13.00 0.3720
C0505_A0048 283.15  11.00 0.3320
C0505_A0048 283.15  6.00 0.2100
C0505_A0048 283.15  2.00 0.0823
C0505_A0048 283.15  0.20 0.0113
C0505_A0048 283.15  0.07 0.0028
C0505_A0048 283.15  0.01 0.0000
C0505_A0048 283.15  0.05 0.0015
C0505_A0048 283.15  0.10 0.0035
C0505_A0048 283.15  0.50 0.0179
C0505_A0048 283.15  1.00 0.0373
C0505_A0048 283.15  2.50 0.0901
C0505_A0048 283.15  4.00 0.1420
C0505_A0048 283.15  5.51 0.1890
C0505_A0048 283.15  7.00 0.2320
C0505_A0048 283.15  8.50 0.2700
C0505_A0048 283.15  10.00 0.3050
C0505_A0048 283.15  11.00 0.3270
C0505_A0048 283.15  12.00 0.3470
C0505_A0048 283.15  13.00 0.3660
C0505_A0048 283.15  13.00 0.3660
C0505_A0048 283.15  11.00 0.3270
C0505_A0048 283.15  6.00 0.2080
C0505_A0048 283.15  2.00 0.0818
C0505_A0048 283.15  0.20 0.0135
C0505_A0048 283.15  0.07 0.0038
C0505_A0048 283.15  0.02 0.0001
C0505_A0048 298.15  0.00 0.0000
C0505_A0048 298.15  0.01 0.0000
C0505_A0048 298.15  0.05 0.0014
C0505_A0048 298.15  0.10 0.0032
C0505_A0048 298.15  0.50 0.0155
C0505_A0048 298.15  1.00 0.0308
C0505_A0048 298.15  2.50 0.0734
C0505_A0048 298.15  4.00 0.1130
C0505_A0048 298.15  5.50 0.1490
C0505_A0048 298.15  7.00 0.1830
C0505_A0048 298.15  8.50 0.2140
C0505_A0048 298.15  10.00 0.2440
C0505_A0048 298.15  11.00 0.2620
C0505_A0048 298.15  12.00 0.2790
C0505_A0048 298.15  13.00 0.2960
C0505_A0048 298.15  13.00 0.2960
C0505_A0048 298.15  11.00 0.2620
C0505_A0048 298.15  6.00 0.1610
C0505_A0048 298.15  2.00 0.0601
C0505_A0048 298.15  0.20 0.0064
C0505_A0048 298.15  0.08 0.0018
C0505_A0048 298.15  0.02 0.0003
C0505_A0048 298.15  0.00 0.0000
C0505_A0048 298.15  0.01 0.0001
C0505_A0048 298.15  0.05 0.0012
C0505_A0048 298.15  0.10 0.0029
C0505_A0048 298.15  0.50 0.0149
C0505_A0048 298.15  1.00 0.0299
C0505_A0048 298.15  2.50 0.0720
C0505_A0048 298.15  4.00 0.1110
C0505_A0048 298.15  5.50 0.1490
C0505_A0048 298.15  7.00 0.1820
C0505_A0048 298.15  8.50 0.2140
C0505_A0048 298.15  10.00 0.2420
C0505_A0048 298.15  11.00 0.2600
C0505_A0048 298.15  12.00 0.2760
C0505_A0048 298.15  13.00 0.2920
C0505_A0048 298.15  13.00 0.2920
C0505_A0048 298.15  11.00 0.2590
C0505_A0048 298.15  6.00 0.1590
C0505_A0048 298.15  2.00 0.0602
C0505_A0048 298.15  0.20 0.0081
C0505_A0048 298.15  0.07 0.0028
C0505_A0048 298.15  0.02 0.0017
C0505_A0048 323.15  0.02 0.0001
C0505_A0048 323.15  0.05 0.0006
C0505_A0048 323.15  0.10 0.0017
C0505_A0048 323.15  0.50 0.0101
C0505_A0048 323.15  1.00 0.0204
C0505_A0048 323.15  2.50 0.0483
C0505_A0048 323.15  4.00 0.0781
C0505_A0048 323.15  5.50 0.1040
C0505_A0048 323.15  7.00 0.1280
C0505_A0048 323.15  8.50 0.1490
C0505_A0048 323.15  10.00 0.1690
C0505_A0048 323.15  11.00 0.1830
C0505_A0048 323.15  12.00 0.1960
C0505_A0048 323.15  13.00 0.2080
C0505_A0048 323.15  13.00 0.2080
C0505_A0048 323.15  11.00 0.1830
C0505_A0048 323.15  6.00 0.1100
C0505_A0048 323.15  2.00 0.0378
C0505_A0048 323.15  0.20 0.0018
C0505_A0048 279.98  2.92 0.1151
C0505_A0048 279.98  7.19 0.2472
C0505_A0048 279.98  14.58 0.4141
C0505_A0048 279.98  20.60 0.5123
C0505_A0048 299.98  4.06 0.1063
C0505_A0048 299.98  9.97 0.2309
C0505_A0048 299.98  20.64 0.3896
C0505_A0048 299.98  29.63 0.4837
C0505_A0048 319.98  5.18 0.0990
C0505_A0048 319.98  12.93 0.2153
C0505_A0048 319.98  27.00 0.3659
C0505_A0048 319.98  39.04 0.4557
C0505_A0048 339.97  6.35 0.0922
C0505_A0048 339.97  15.86 0.2020
C0505_A0048 339.97  33.22 0.3459
C0505_A0048 339.97  48.00 0.4332
C0505_A0048 283.36  0.68 0.0416
C0505_A0048 293.25  0.72 0.0332
C0505_A0048 303.21  0.75 0.0273
C0505_A0048 323.22  0.82 0.0196
C0505_A0048 303.26  0.93 0.0273
C0505_A0048 303.23  0.96 0.0272
C0505_A0048 313.39  0.97 0.0230
C0505_A0048 313.36  1.00 0.0229
C0505_A0048 323.61  1.01 0.0199
C0505_A0048 323.48  1.04 0.0195
C0505_A0048 333.76  1.04 0.0173
C0505_A0048 343.79  1.08 0.0149
C0505_A0048 333.70  1.08 0.0169
C0505_A0048 343.78  1.12 0.0150
C0505_A0048 293.35  10.70 0.3103
C0505_A0048 303.85  11.70 0.3103
C0505_A0048 314.05  12.90 0.3103
C0505_A0048 324.15  15.50 0.3103
C0505_A0048 334.35  18.00 0.3103
C0505_A0048 344.55  21.40 0.3103
C0505_A0048 295.55  15.80 0.3970
C0505_A0048 304.05  18.40 0.3970
C0505_A0048 314.05  21.40 0.3970
C0505_A0048 324.15  24.50 0.3970
C0505_A0048 334.35  29.20 0.3970
C0505_A0048 344.55  36.40 0.3970
C0505_A0048 293.45  21.40 0.5012
C0505_A0048 303.85  25.60 0.5012
C0505_A0048 314.05  31.30 0.5012
C0505_A0048 324.15  36.40 0.5012
C0505_A0048 334.35  45.80 0.5012
C0505_A0048 344.55  54.50 0.5012
C0505_A0048 294.35  24.00 0.5171
C0505_A0048 303.85  27.80 0.5171
C0505_A0048 314.05  34.30 0.5171
C0505_A0048 324.15  41.20 0.5171
C0505_A0048 334.35  49.00 0.5171
C0505_A0048 344.55  58.20 0.5171
C0505_A0048 293.55  25.00 0.5544
C0505_A0048 303.85  31.80 0.5544
C0505_A0048 314.05  39.50 0.5544
C0505_A0048 324.15  48.00 0.5544
C0505_A0048 334.35  57.80 0.5544
C0505_A0048 344.55  70.00 0.5544
C0505_A0048 293.45  29.80 0.5942
C0505_A0048 303.85  35.40 0.5942
C0505_A0048 314.05  45.80 0.5942
C0505_A0048 324.15  56.30 0.5942
C0505_A0048 334.35  67.80 0.5942
C0505_A0048 344.55  81.20 0.5942
C0505_A0048 294.35  33.10 0.6210
C0505_A0048 303.85  40.20 0.6210
C0505_A0048 314.05  50.40 0.6210
C0505_A0048 324.15  61.20 0.6210
C0505_A0048 334.35  73.80 0.6210
C0505_A0048 344.55  91.60 0.6210
C0505_A0048 293.45  35.00 0.6477
C0505_A0048 303.85  43.20 0.6477
C0505_A0048 314.05  55.20 0.6477
C0505_A0048 324.15  70.50 0.6477
C0505_A0048 334.35  85.20 0.6477
C0505_A0048 344.55  100.80 0.6477
C0505_A0048 294.35  37.20 0.6642
C0505_A0048 303.85  46.30 0.6642
C0505_A0048 314.05  60.00 0.6642
C0505_A0048 324.15  75.40 0.6642
C0505_A0048 334.35  91.30 0.6642
C0505_A0048 344.55  113.00 0.6642
C0505_A0048 293.45  39.80 0.6848
C0505_A0048 303.85  50.20 0.6848
C0505_A0048 314.05  66.70 0.6848
C0505_A0048 324.15  84.50 0.6848
C0505_A0048 334.35  106.50 0.6848
C0505_A0048 344.55  133.00 0.6848
C0505_A0048 293.65  40.80 0.6986
C0505_A0048 303.85  52.60 0.6986
C0505_A0048 314.05  67.40 0.6986
C0505_A0048 324.15  89.00 0.6986
C0505_A0048 334.35  116.70 0.6986
C0505_A0048 344.55  144.00 0.6986
C0505_A0048 293.45  43.20 0.7208
C0505_A0048 303.85  55.40 0.7208
C0505_A0048 314.05  74.20 0.7208
C0505_A0048 324.15  104.00 0.7208
C0505_A0048 334.35  138.00 0.7208
C0505_A0048 344.55  171.00 0.7208
C0505_A0048 293.65  50.80 0.7603
C0505_A0048 303.85  102.50 0.7603
C0505_A0048 314.05  152.00 0.7603
C0505_A0048 324.15  189.00 0.7603
C0505_A0048 334.35  242.20 0.7603
C0505_A0048 344.55  284.50 0.7603
C0505_A0048 293.45  170.60 0.8032
C0505_A0048 303.85  224.50 0.8032
C0505_A0048 314.05  280.70 0.8032
C0505_A0048 324.15  333.50 0.8032
C0505_A0048 334.35  382.50 0.8032
C0505_A0048 344.55  428.00 0.8032
C0505_A0048 313.15  4.20 0.0847
C0505_A0048 313.15  9.94 0.1886
C0505_A0048 313.15  17.23 0.2926
C0505_A0048 313.15  24.67 0.3818
C0505_A0048 313.15  37.58 0.4866
C0505_A0048 313.15  43.31 0.5257
C0505_A0048 313.15  54.37 0.5852
C0505_A0048 313.50  24.73 0.3818
C0505_A0048 313.55  4.22 0.0847
C0505_A0048 313.57  37.99 0.4866
C0505_A0048 313.58  17.24 0.2926
C0505_A0048 313.60  10.02 0.1886
C0505_A0048 313.65  54.83 0.5852
C0505_A0048 313.65  55.27 0.5852
C0505_A0048 314.65  44.48 0.5257
C0505_A0048 323.08  4.88 0.0847
C0505_A0048 323.08  11.72 0.1886
C0505_A0048 323.08  20.24 0.2926
C0505_A0048 323.08  29.38 0.3818
C0505_A0048 323.13  65.88 0.5852
C0505_A0048 323.15  51.74 0.5257
C0505_A0048 332.73  5.58 0.0847
C0505_A0048 332.73  78.28 0.5852
C0505_A0048 332.74  13.57 0.1886
C0505_A0048 332.75  23.50 0.2926
C0505_A0048 332.76  52.89 0.4866
C0505_A0048 332.77  34.23 0.3818
C0505_A0048 332.79  60.99 0.5257
C0505_A0048 333.15  5.64 0.0847
C0505_A0048 333.15  13.63 0.1886
C0505_A0048 333.15  23.79 0.2926
C0505_A0048 333.15  34.37 0.3818
C0505_A0048 333.15  53.39 0.4866
C0505_A0048 333.15  61.19 0.5257
C0505_A0048 333.15  79.07 0.5852
C0505_A0048 342.42  15.52 0.1886
C0505_A0048 342.43  6.48 0.0847
C0505_A0048 342.43  92.13 0.5852
C0505_A0048 342.45  70.74 0.5257
C0505_A0048 342.47  39.43 0.3818
C0505_A0048 342.53  61.37 0.4866
C0505_A0048 342.55  27.00 0.2926
C0505_A0048 352.10  31.05 0.2926
C0505_A0048 352.10  71.97 0.4866
C0505_A0048 352.11  17.57 0.1886
C0505_A0048 352.11  81.24 0.5257
C0505_A0048 352.11  107.13 0.5852
C0505_A0048 352.12  44.97 0.3818
C0505_A0048 352.13  7.23 0.0847
C0505_A0048 353.15  7.34 0.0847
C0505_A0048 353.15  17.83 0.1886
C0505_A0048 353.15  31.32 0.2926
C0505_A0048 353.15  45.57 0.3818
C0505_A0048 353.15  72.34 0.4866
C0505_A0048 353.15  82.54 0.5257
C0505_A0048 353.15  108.49 0.5852
C0505_A0048 361.76  19.72 0.1886
C0505_A0048 361.76  92.50 0.5257
C0505_A0048 361.77  35.00 0.2926
C0505_A0048 361.82  8.13 0.0847
C0505_A0048 361.86  50.82 0.3818
C0505_A0048 361.93  123.04 0.5852
C0505_A0048 371.43  22.02 0.1886
C0505_A0048 371.43  104.25 0.5257
C0505_A0048 371.46  91.72 0.4866
C0505_A0048 371.50  9.03 0.0847
C0505_A0048 371.50  56.82 0.3818
C0505_A0048 371.56  39.00 0.2926
C0505_A0048 371.59  139.59 0.5852
C0505_A0048 373.15  9.22 0.0847
C0505_A0048 373.15  22.41 0.1886
C0505_A0048 373.15  39.57 0.2926
C0505_A0048 373.15  57.89 0.3818
C0505_A0048 373.15  93.41 0.4866
C0505_A0048 373.15  106.32 0.5257
C0505_A0048 373.15  142.61 0.5852
C0505_A0048 380.99  24.33 0.1886
C0505_A0048 381.11  116.25 0.5257
C0505_A0048 381.17  10.03 0.0847
C0505_A0048 381.22  43.04 0.2926
C0505_A0048 381.25  63.03 0.3818
C0505_A0048 390.67  10.98 0.0847
C0505_A0048 390.86  26.68 0.1886
C0505_A0048 390.87  112.73 0.4866
C0505_A0048 390.88  47.29 0.2926
C0505_A0048 390.91  69.43 0.3818
C0505_A0048 390.95  128.74 0.5257
C0505_A0048 393.15  11.23 0.0847
C0505_A0048 393.15  27.25 0.1886
C0505_A0048 393.15  48.29 0.2926
C0505_A0048 393.15  70.94 0.3818
C0505_A0048 393.15  115.58 0.4866
C0505_A0048 393.15  131.51 0.5257
C0505_A0048 400.58  11.98 0.0847
C0505_A0048 400.59  140.99 0.5257
C0505_A0048 400.62  51.50 0.2926
C0505_A0048 400.63  75.93 0.3818
C0505_A0048 400.64  29.12 0.1886
C0505_A0048 410.32  13.03 0.0847
C0505_A0048 410.37  31.58 0.1886
C0505_A0048 410.37  56.00 0.2926
C0505_A0048 410.37  134.73 0.4866
C0505_A0048 410.52  82.48 0.3818
C0505_A0048 413.15  13.31 0.0847
C0505_A0048 413.15  32.25 0.1886
C0505_A0048 413.15  57.24 0.2926
C0505_A0048 413.15  84.35 0.3818
C0505_A0048 413.15  137.82 0.4866
C0505_A0048 415.25  140.23 0.4866
C0505_A0048 420.12  14.08 0.0847
C0505_A0048 420.12  89.33 0.3818
C0505_A0048 420.16  33.98 0.1886
C0505_A0048 420.21  60.35 0.2926
C0505_A0048 429.86  95.48 0.3818
C0505_A0048 429.87  64.75 0.2926
C0505_A0048 429.89  36.48 0.1886
C0505_A0048 429.98  15.03 0.0847
C0505_A0048 433.15  15.39 0.0847
C0505_A0048 433.15  37.29 0.1886
C0505_A0048 433.15  66.17 0.2926
C0505_A0048 433.15  97.74 0.3818
C0505_A0048 439.54  16.03 0.0847
C0505_A0048 439.60  69.00 0.2926
C0505_A0048 439.64  38.88 0.1886
C0505_A0048 439.65  101.98 0.3818
C0505_A0048 449.29  17.03 0.0847
C0505_A0048 449.36  73.25 0.2926
C0505_A0048 449.38  41.33 0.1886
C0505_A0048 449.41  108.33 0.3818
C0505_A0048 453.15  17.41 0.0847
C0505_A0048 453.15  42.24 0.1886
C0505_A0048 453.15  74.83 0.2926
C0505_A0048 453.15  110.73 0.3818
C0505_A0048 292.65  6.29 0.2310
C0505_A0048 303.18  7.86 0.2310
C0505_A0048 313.32  10.50 0.2310
C0505_A0048 323.22  13.03 0.2310
C0505_A0048 333.19  15.74 0.2310
C0505_A0048 343.00  18.74 0.2310
C0505_A0048 353.20  21.79 0.2310
C0505_A0048 363.26  24.85 0.2310
C0505_A0048 293.21  9.15 0.3190
C0505_A0048 303.05  12.23 0.3190
C0505_A0048 313.19  15.40 0.3190
C0505_A0048 323.27  18.92 0.3190
C0505_A0048 333.17  22.83 0.3190
C0505_A0048 342.87  26.82 0.3190
C0505_A0048 353.09  31.21 0.3190
C0505_A0048 363.19  35.79 0.3190
C0505_A0048 293.53  14.10 0.4040
C0505_A0048 303.10  18.12 0.4040
C0505_A0048 313.17  22.73 0.4040
C0505_A0048 323.26  27.87 0.4040
C0505_A0048 333.23  33.16 0.4040
C0505_A0048 343.11  38.97 0.4040
C0505_A0048 353.12  45.12 0.4040
C0505_A0048 363.17  51.56 0.4040
C0505_A0048 293.22  19.97 0.5030
C0505_A0048 303.12  25.68 0.5030
C0505_A0048 313.10  31.96 0.5030
C0505_A0048 323.20  39.09 0.5030
C0505_A0048 333.12  46.70 0.5030
C0505_A0048 343.24  54.99 0.5030
C0505_A0048 353.17  64.12 0.5030
C0505_A0048 363.18  73.72 0.5030
C0505_A0048 293.27  30.52 0.6020
C0505_A0048 303.31  39.62 0.6020
C0505_A0048 313.13  49.12 0.6020
C0505_A0048 323.13  60.15 0.6020
C0505_A0048 333.20  72.69 0.6020
C0505_A0048 343.02  86.75 0.6020
C0505_A0048 353.20  101.96 0.6020
C0505_A0048 363.23  117.76 0.6020
C0505_A0048 293.37  44.33 0.7010
C0505_A0048 303.19  58.80 0.7010
C0505_A0048 313.11  78.60 0.7010
C0505_A0048 323.09  102.15 0.7010
C0505_A0048 333.10  131.50 0.7010
C0505_A0048 343.25  161.44 0.7010
C0505_A0048 353.14  194.37 0.7010
C0505_A0048 362.99  224.68 0.7010
C0505_A0048 293.32  59.07 0.7490
C0505_A0048 303.19  108.12 0.7490
C0505_A0048 313.12  158.10 0.7490
C0505_A0048 323.11  205.43 0.7490
C0505_A0048 333.17  251.24 0.7490
C0505_A0048 343.20  292.05 0.7490
C0505_A0048 353.09  332.19 0.7490
C0505_A0048 363.18  363.65 0.7490
C0505_A0048 293.42  128.29 0.7710
C0505_A0048 303.31  187.26 0.7710
