ad_method,interval_method,alpha,nominal,coverage_in,coverage_out,width_in,width_out
knn_distance,split_conformal,0.1,0.9,0.8863636363636364,0.7450980392156863,3.941608657836915,3.941608657836915
knn_distance,normalized_conformal,0.1,0.9,0.9040404040404041,0.7647058823529411,3.649773711837339,4.232785917414937
knn_distance,cqr,0.1,0.9,0.8952020202020202,0.7647058823529411,6.554866313934326,6.218984603881836
tanimoto,split_conformal,0.1,0.9,0.8932160804020101,0.6170212765957447,3.941608657836915,3.941608657836916
tanimoto,normalized_conformal,0.1,0.9,0.907035175879397,0.7021276595744681,3.6399864999624856,4.4481618636850095
tanimoto,cqr,0.1,0.9,0.9020100502512562,0.6382978723404256,6.5286784172058105,6.63391637802124
