ad_method,threshold,frac_in_domain,n_in,mae_in,rmse_in,r2_in,n_out,mae_out,rmse_out,r2_out,mae_ratio_out_in
knn_distance,42.02152243609432,0.9395017793594306,792,0.8863465556003755,1.4112187961161018,0.8139939190307608,51,1.5836996934616485,2.251583669189419,0.3590668222845951,1.7867725478877887
tanimoto,0.3333333333333333,0.9442467378410438,796,0.8687084410281563,1.38513357243971,0.8144642855978583,47,1.94177100731126,2.562611424569571,0.530542935028782,2.2352390233633335
