top_k,cv_r2_mean,cv_r2_std,folds
4,0.33478834688991793,0.0581546105100753,"[0.2953485744723874, 0.37144319059551634, 0.4090673112473264, 0.2632943112444417]"
6,0.3511934453262656,0.04097392016804862,"[0.3225887112300524, 0.3837791825120065, 0.3983326866176792, 0.3000732009453245]"
8,0.3645883495698077,0.05484074272813379,"[0.307358883827211, 0.37903460890503626, 0.4477493655871245, 0.3242105399598588]"
