fingerprint_size,RF Train R²,RF Test R²,XGBoost Train R²,XGBoost Test R²,XGBoost Test MAE,XGBoost Test MSE,XGBoost Test RMSE
1024,0.93224,0.49898,0.94705,0.67698,1.37308,3.73361,1.93225
2048,0.93508,0.5334,0.93776,0.71195,1.30303,3.32945,1.82468
4096,0.94063,0.55368,0.93145,0.7332,1.21337,3.08385,1.75609
8192,0.94158,0.54928,0.96468,0.77145,1.10078,2.64167,1.62532
16384,0.93884,0.5448,0.96295,0.77375,1.11031,2.61509,1.61712
