best_params,Train_R2,Test_R2,Test_MAE,Test_MSE,Test_RMSE,radius,fp_size
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.969423791,0.812607304,0.978891161,2.165984423,1.47172838,3,16384
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.993565311,0.764542057,1.093850429,2.721548113,1.649711524,4,12
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.998788522,0.753555188,1.107409201,2.848540183,1.687761886,4,64
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.998378763,0.752207741,1.111843811,2.864114694,1.69236955,4,128
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.993721601,0.743950772,1.176034009,2.959553125,1.720335178,4,256
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.989249636,0.748784042,1.143542611,2.903687628,1.704021017,4,512
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.991430443,0.770681895,1.092422225,2.650580595,1.628060378,4,1024
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.975441446,0.768416849,1.127280563,2.676761197,1.636081049,4,2048
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.970345817,0.779573512,1.074905201,2.547806559,1.596185002,4,4096
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.968421835,0.799035856,1.009342436,2.322850435,1.524090035,4,8192
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.968258218,0.806537252,0.998217795,2.236145307,1.495374638,4,16384
