fingerprint_size,RF Train R²,RF Test R²,XGBoost Train R²,XGBoost Test R²,XGBoost Test MAE,XGBoost Test MSE,XGBoost Test RMSE
1024,0.94178,0.57984,0.93552,0.70574,1.2741,3.40123,1.84424
2048,0.94409,0.57859,0.93039,0.74293,1.18506,2.97134,1.72376
4096,0.94683,0.60222,0.96511,0.75959,1.09376,2.77879,1.66697
8192,0.94638,0.61114,0.96402,0.78411,1.04872,2.49543,1.57969
16384,0.94402,0.58112,0.96127,0.79503,1.03955,2.36918,1.53921
