,Size 10,Size 128,Size 256,Size 512,Size 1024
Radius 1,0.12113108183888588,0.7694199276645183,0.7820817581077295,0.7700301018229043,0.7807678894586798
Radius 2,0.026178798123331015,0.6597674404671345,0.6530826310346463,0.7229236334909379,0.7522840136635063
Radius 3,0.01754603580096925,0.6081971980778172,0.6336919709543428,0.6629480793310926,0.6764462124490522
Radius 4,0.009915066382096382,0.5639668992517963,0.6142826394220087,0.6759354661274416,0.6834791538091233
