unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,cosolvent
perrin_supp4161,CCCCN(CCCC)CCCC,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",pkb,5.4,,,,,P51,,,"butane, 1-dibutylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4188,NCC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,"InChI=1S/C5H4Cl5N/c6-2(1-11)3(7)4(8)5(9)10/h1,11H2",pkb,7.22,22,,E3bg,Approximate,R19,,,"penta-2-4-diene, 1-amino-2,3,4,5,5-pentachloro-",['manual_no_smiles'],1,,perrin_supp,,B,,
perrin_supp4191,CCC(C)CC(C)N,"InChI=1S/C7H17N/c1-4-6(2)5-7(3)8/h6-7H,4-5,8H2,1-3H3",pkb,3.46,not_stated,,E3dg,Uncertain,C10,,,"hexane, 2-amino-4-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4198,CCCCCC(C)N,"InChI=1S/C7H17N/c1-3-4-5-6-7(2)8/h7H,3-6,8H2,1-2H3",pkb,3.52,not_stated,,E3dg,Uncertain,C10,,,"heptane, 2-amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4207,CCCCCCCCCCCCN,"InChI=1S/C12H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-13H2,1H3",pkb,3.37,25,,,,M23,,,"dodecane, 1-amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4226,NC1CCC1,"InChI=1S/C4H9N/c5-4-2-1-3-4/h4H,1-3,5H2",pkb,3.96,25,,E3dg,Uncertain,W17,,,"cyclobutane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4232,CNC(C)CC1CCCC1,"InChI=1S/C9H19N/c1-8(10-2)7-9-5-3-4-6-9/h8-10H,3-7H2,1-2H3",pkb,3.53,not_stated,,E3dg,Uncertain,C10,,,"cyclopentane, (2-methylamino)propyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp4248,CNC(C)CC1CCCCC1,"InChI=1S/C10H21N/c1-9(11-2)8-10-6-4-3-5-7-10/h9-11H,3-8H2,1-2H3",pkb,3.48,,,,,K21,,,"cyclohexane, (2-methylamino)propyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp4251,NC12CC(C1)C2,"InChI=1S/C5H9N/c6-5-1-4(2-5)3-5/h4H,1-3,6H2",pkb,5.42,25,C=0.01M,E3dg,Uncertain,W17,,,"bicyclo[1.1.1]pentane, 1-amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4252,NC12CCC(CC1)C2,"InChI=1S/C7H13N/c8-7-3-1-6(5-7)2-4-7/h6H,1-5,8H2",pkb,4.7,25,C=0.01M,E3dg,Uncertain,W16,,,"bicyclo[2.2.1]hexane, 1-amino-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp4253,NC12CCC(CC1)C2,"InChI=1S/C7H13N/c8-7-3-1-6(5-7)2-4-7/h6H,1-5,8H2",pkb,3.8,25,C=0.01M,E3dg,Uncertain,W16,,,"bicyclo[2.2.1]heptane, 1-amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4258,CCOc1ccc(NC(C)=O)cc1,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",pkb,11.8,,,E,,E25,,,"aniline, N-acetyl-4-ethoxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4640,COc1cccc(OC)c1CC(N)CO,"InChI=1S/C11H17NO3/c1-14-10-4-3-5-11(15-2)9(10)6-8(12)7-13/h3-5,8,13H,6-7,12H2,1-2H3",pkb,4.82,not_stated,,E3dg,Uncertain,C10,,,"benzene, (2-amino-3-hydroxy)propyl-2,5-dimethoxy-",['manual_no_smiles'],1,,perrin_supp,,B,,
perrin_supp4810,CNC(C)Cc1ccccc1,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3",pkb,3.8,,no details,,,K21,,,"benzene, (2-methylamino)propyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp4810,CNC(C)Cc1ccccc1,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3",pkb,3.89,,no details,,Uncertain,T14,,,"benzene, (2-methylamino)propyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp4811,CNCCCc1ccccc1,"InChI=1S/C10H15N/c1-11-9-5-8-10-6-3-2-4-7-10/h2-4,6-7,11H,5,8-9H2,1H3",pkb,3.57,,no details,,Uncertain,T14,,,"benzene, (3-methylamino)propyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp4812,CNC(C)(C)Cc1ccccc1,"InChI=1S/C11H17N/c1-11(2,12-3)9-10-7-5-4-6-8-10/h4-8,12H,9H2,1-3H3",pkb,3.62,not_stated,,E3dg,Uncertain,C10,,,"benzene, (2-methyl-2-methylamino)propyl-",['manual_no_smiles'],1,,perrin_supp,,B,,
perrin_supp5481,c1ccc2c(CC3NCCN3)cccc2c1,"InChI=1S/C14H16N2/c1-2-7-13-11(4-1)5-3-6-12(13)10-14-15-8-9-16-14/h1-7,14-16H,8-10H2",pkb,3.86,not_stated,,E3dg,Uncertain,C10,,,"imidazolidine, 2-(1-naphthyl)methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp5572,C1CNCCN1,"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2",pkb1,4.19,,"I=0.1(KCl), ""mixed"" constants",,,D18,Thermodynamic quantities are derived from the results,,Piperazine,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1']",4,,perrin_supp,,B,,
perrin_supp5572,C1CNCCN1,"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2",pkb2,8.43,,"I=0.1(KCl), ""mixed"" constants",,,D18,Thermodynamic quantities are derived from the results,,Piperazine,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1']",4,,perrin_supp,,B,,
perrin_supp5651,Cc1cc(=O)n(-c2ccccc2)n1C,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",pkb,11.3,,No details,E,,E25,,,"pyrazole, 2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp5694,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C13H17N3O/c1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h5-9H,1-4H3",pkb,9.003,,HA scale,C,,A54,,,"pyrazole, 4-dimethylamino-2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp5757,Cc1c(C(O)(c2ccc(N)cc2)c2ccc(N(C)C)cc2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C26H28N4O2/c1-18-24(25(31)30(29(18)4)23-8-6-5-7-9-23)26(32,19-10-14-21(27)15-11-19)20-12-16-22(17-13-20)28(2)3/h5-17,32H,27H2,1-4H3",pkb+,9.72,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-amino-4'-dimethylamino-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5758,Cc1c(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C28H32N4O2/c1-20-26(27(33)32(31(20)6)25-10-8-7-9-11-25)28(34,21-12-16-23(17-13-21)29(2)3)22-14-18-24(19-15-22)30(4)5/h7-19,34H,1-6H3",pkb+,10.35,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4,4'-bisdimethylamino-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5759,Cc1c(C(O)(c2ccc(N(C)C)cc2)c2cccc(Br)c2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C26H26BrN3O2/c1-18-24(25(31)30(29(18)4)23-11-6-5-7-12-23)26(32,20-9-8-10-21(27)17-20)19-13-15-22(16-14-19)28(2)3/h5-17,32H,1-4H3",pkb+,6.86,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 3-bromo-4'-dimethylamino-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5760,Cc1c(C(O)(c2ccc(Br)cc2)c2ccc(N(C)C)cc2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C26H26BrN3O2/c1-18-24(25(31)30(29(18)4)23-8-6-5-7-9-23)26(32,19-10-14-21(27)15-11-19)20-12-16-22(17-13-20)28(2)3/h5-17,32H,1-4H3",pkb+,7.3,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-bromo-4'-dimethylamino-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5761,Cc1c(C(O)(c2ccc(N(C)C)cc2)c2cccc(Cl)c2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C26H26ClN3O2/c1-18-24(25(31)30(29(18)4)23-11-6-5-7-12-23)26(32,20-9-8-10-21(27)17-20)19-13-15-22(16-14-19)28(2)3/h5-17,32H,1-4H3",pkb+,7.06,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 3-chloro-4'-dimethylamino-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5762,Cc1c(C(O)(c2ccc(Cl)cc2)c2ccc(N(C)C)cc2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C26H26ClN3O2/c1-18-24(25(31)30(29(18)4)23-8-6-5-7-9-23)26(32,19-10-14-21(27)15-11-19)20-12-16-22(17-13-20)28(2)3/h5-17,32H,1-4H3",pkb+,7.27,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-chloro-4'-dimethylamino-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5763,Cc1c(C(O)(c2ccccc2)c2ccc(N(C)C)cc2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C26H27N3O2/c1-19-24(25(30)29(28(19)4)23-13-9-6-10-14-23)26(31,20-11-7-5-8-12-20)21-15-17-22(18-16-21)27(2)3/h5-18,31H,1-4H3",pkb+,7.65,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-dimethylamino-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5764,COc1cccc(C(O)(c2ccc(N(C)C)cc2)c2c(C)n(C)n(-c3ccccc3)c2=O)c1,"InChI=1S/C27H29N3O3/c1-19-25(26(31)30(29(19)4)23-11-7-6-8-12-23)27(32,21-10-9-13-24(18-21)33-5)20-14-16-22(17-15-20)28(2)3/h6-18,32H,1-5H3",pkb+,7.38,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-dimethylamino-3'-methoxy-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5765,COc1ccc(C(O)(c2ccc(N(C)C)cc2)c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,"InChI=1S/C27H29N3O3/c1-19-25(26(31)30(29(19)4)23-9-7-6-8-10-23)27(32,21-13-17-24(33-5)18-14-21)20-11-15-22(16-12-20)28(2)3/h6-18,32H,1-5H3",pkb+,8.56,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-dimethylamino-4'-methoxy-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5766,Cc1cccc(C(O)(c2ccc(N(C)C)cc2)c2c(C)n(C)n(-c3ccccc3)c2=O)c1,"InChI=1S/C27H29N3O2/c1-19-10-9-11-22(18-19)27(32,21-14-16-23(17-15-21)28(3)4)25-20(2)29(5)30(26(25)31)24-12-7-6-8-13-24/h6-18,32H,1-5H3",pkb+,7.78,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-dimethylamino-3'-methyl-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5767,Cc1ccc(C(O)(c2ccc(N(C)C)cc2)c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,"InChI=1S/C27H29N3O2/c1-19-11-13-21(14-12-19)27(32,22-15-17-23(18-16-22)28(3)4)25-20(2)29(5)30(26(25)31)24-9-7-6-8-10-24/h6-18,32H,1-5H3",pkb+,7.87,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-dimethylamino-4'-methyl-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5768,Cc1c(C(O)(c2ccc(N(C)C)cc2)c2cccc([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C26H26N4O4/c1-18-24(25(31)29(28(18)4)22-10-6-5-7-11-22)26(32,19-13-15-21(16-14-19)27(2)3)20-9-8-12-23(17-20)30(33)34/h5-17,32H,1-4H3",pkb+,6.34,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-dimethylamino-3'-nitro-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5769,Cc1c(C(O)(c2ccc(N(C)C)cc2)c2ccc([N+](=O)[O-])cc2)c(=O)n(-c2ccccc2)n1C,"InChI=1S/C26H26N4O4/c1-18-24(25(31)29(28(18)4)22-8-6-5-7-9-22)26(32,19-10-14-21(15-11-19)27(2)3)20-12-16-23(17-13-20)30(33)34/h5-17,32H,1-4H3",pkb+,6.11,18,insufficient details,O,Uncertain,S36,,,"diphenylantipyrylcarbinol, 4-dimethylamino-4'-nitro-",['manual_no_smiles'],1,,perrin_supp,,B,18+1,
perrin_supp5989,Cc1nc(O)nc(O)c1N(CCCl)CCCl,"InChI=1S/C9H13Cl2N3O2/c1-6-7(8(15)13-9(16)12-6)14(4-2-10)5-3-11/h2-5H2,1H3,(H2,12,13,15,16)",pkb1,10.3,10.3,,E,,E25,,,"pyrimidine, 5-[bis(2-chloroethyl)]amino-2,4-dihydroxy-6-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp5989,Cc1nc(O)nc(O)c1N(CCCl)CCCl,"InChI=1S/C9H13Cl2N3O2/c1-6-7(8(15)13-9(16)12-6)14(4-2-10)5-3-11/h2-5H2,1H3,(H2,12,13,15,16)",pkb2,12.2,10.3,,E,,E25,,,"pyrimidine, 5-[bis(2-chloroethyl)]amino-2,4-dihydroxy-6-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6129,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,"InChI=1S/C12H13ClN4/c1-2-9-10(11(14)17-12(15)16-9)7-3-5-8(13)6-4-7/h3-6H,2H2,1H3,(H4,14,15,16,17)",pkb,8.4,,,E,,E25,,,"pyrimidine, 2,4-diamino-5-(p-chlorophenyl)-6-ethyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1']",4,,perrin_supp,,B,,
perrin_supp6577,c1nc[nH]n1,"InChI=1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)",pkb1,11.02,,C=0.01M,,,B2,,,"1,2,4-Triazole","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1']",4,,perrin_supp,,B,,
perrin_supp6578,Nc1nc[nH]n1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",pkb1,9.5,,C=0.01M,,,B2,,,"1,2,4-Triazole, 3-amino-",['manual_inconsistent'],1,,perrin_supp,,B,,
perrin_supp6579,Nn1cnnc1,"InChI=1S/C2H4N4/c3-6-1-4-5-2-6/h1-2H,3H2",pkb,10.77,,,,,B2,,,"1,2,4-Triazole, 4-amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6580,Nc1nc(-c2n[nH]c(N)n2)n[nH]1,"InChI=1S/C4H6N8/c5-3-7-1(9-11-3)2-8-4(6)12-10-2/h(H3,5,7,9,11)(H3,6,8,10,12)",pkb,10.06,,,,,B2,,,"1,2,4-Triazole, 5-amino-3-[3'-(5-amino-1,2,4-triazolyl)]-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6581,Nc1nc(CCc2n[nH]c(N)n2)n[nH]1,"InChI=1S/C6H10N8/c7-5-9-3(11-13-5)1-2-4-10-6(8)14-12-4/h1-2H2,(H3,7,9,11,13)(H3,8,10,12,14)",pkb1,9.14,,,,,B2,,,"1,2,4-Triazole, 5-amino-3-[3'-(5-amino-1,2,4-triazolyl)]ethyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6581,Nc1nc(CCc2n[nH]c(N)n2)n[nH]1,"InChI=1S/C6H10N8/c7-5-9-3(11-13-5)1-2-4-10-6(8)14-12-4/h1-2H2,(H3,7,9,11,13)(H3,8,10,12,14)",pkb2,10.3,,,,,B2,,,"1,2,4-Triazole, 5-amino-3-[3'-(5-amino-1,2,4-triazolyl)]ethyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6582,Nc1nc(Cc2n[nH]c(N)n2)n[nH]1,"InChI=1S/C5H8N8/c6-4-8-2(10-12-4)1-3-9-5(7)13-11-3/h1H2,(H3,6,8,10,12)(H3,7,9,11,13)",pkb1,9.95,,,,,B2,,,"1,2,4-Triazole, 5-amino-3-[3'-(5-amino-1,2,4-triazolyl)]methyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6582,Nc1nc(Cc2n[nH]c(N)n2)n[nH]1,"InChI=1S/C5H8N8/c6-4-8-2(10-12-4)1-3-9-5(7)13-11-3/h1H2,(H3,6,8,10,12)(H3,7,9,11,13)",pkb2,10.7,,,,,B2,,,"1,2,4-Triazole, 5-amino-3-[3'-(5-amino-1,2,4-triazolyl)]methyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6583,CCc1nnc(CC)n1N,"InChI=1S/C6H12N4/c1-3-5-8-9-6(4-2)10(5)7/h3-4,7H2,1-2H3",pkb,9.87,,,,,B2,,,"1,2,4-Triazole, 4-amino-3,5-diethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6584,Cc1nnc(C)n1N,"InChI=1S/C4H8N4/c1-3-6-7-4(2)8(3)5/h5H2,1-2H3",pkb,10.34,,,,,B2,,,"1,2,4-Triazole, 4-amino-3,5-dimethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6585,CCCc1nnc(CCC)n1N,"InChI=1S/C8H16N4/c1-3-5-7-10-11-8(6-4-2)12(7)9/h3-6,9H2,1-2H3",pkb,9.7,,,,,B2,,,"1,2,4-Triazole, 4-amino-3,5-dipropyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6586,Cc1nc(N)n[nH]1,"InChI=1S/C3H6N4/c1-2-5-3(4)7-6-2/h1H3,(H3,4,5,6,7)",pkb,9.32,,,,,B2,,,"1,2,4-Triazole, 3-amino-5-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6587,Cn1ncnc1N,"InChI=1S/C3H6N4/c1-7-3(4)5-2-6-7/h2H,1H3,(H2,4,5,6)",pkb,9.8,,C=0.01M,,,B81,,,"1,2,4-Triazole, 5-amino-1-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6589,Nc1n[nH]c(-c2ccccc2)n1,"InChI=1S/C8H8N4/c9-8-10-7(11-12-8)6-4-2-1-3-5-6/h1-5H,(H3,9,10,11,12)",pkb,10.07,,,,,B2,,,"1,2,4-Triazole, 3-amino-5-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6591,CCc1nnc(CC)n1NCC(C)([N+](=O)[O-])[N+](=O)[O-],"InChI=1S/C9H16N6O4/c1-4-7-11-12-8(5-2)13(7)10-6-9(3,14(16)17)15(18)19/h10H,4-6H2,1-3H3",pkb,10.43,,titration of hydrochloride,,,B2,,,"1,2,4-Triazole, 3,5-diethyl-4-(2,2-dinitro)propylamino-","['OPSIN_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6591,CCc1nnc(CC)n1NCC(C)([N+](=O)[O-])[N+](=O)[O-],"InChI=1S/C9H16N6O4/c1-4-7-11-12-8(5-2)13(7)10-6-9(3,14(16)17)15(18)19/h10H,4-6H2,1-3H3",pkb,10.7,,titration of hydrochloride,,,B2,,,"1,2,4-Triazole, 3,5-diethyl-4-(2,2-dinitro)propylamino-","['OPSIN_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6592,Cc1nnc(C)n1NCC(C)([N+](=O)[O-])[N+](=O)[O-],"InChI=1S/C7H12N6O4/c1-5-9-10-6(2)11(5)8-4-7(3,12(14)15)13(16)17/h8H,4H2,1-3H3",pkb,10.4,,,,,B2,,,"1,2,4-Triazole, 3,5-dimethyl-4-(2,2-dinitro)propylamino-","['OPSIN_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6593,CC(CNn1cnnc1)([N+](=O)[O-])[N+](=O)[O-],"InChI=1S/C5H8N6O4/c1-5(10(12)13,11(14)15)2-8-9-3-6-7-4-9/h3-4,8H,2H2,1H3",pkb,10.78,,,,,B2,,,"1,2,4-Triazole, 4-(2,2-dinitro)propylamino-","['OPSIN_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6594,CCCc1nnc(CCC)n1NCC(C)([N+](=O)[O-])[N+](=O)[O-],"InChI=1S/C11H20N6O4/c1-4-6-9-13-14-10(7-5-2)15(9)12-8-11(3,16(18)19)17(20)21/h12H,4-8H2,1-3H3",pkb,10.15,,,,,B2,,,"1,2,4-Triazole, 4-(2,2-dinitro)propylamino-3,5-dipropyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin_supp,,B,,
perrin_supp6596,Cn1cncn1,"InChI=1S/C3H5N3/c1-6-3-4-2-5-6/h2-3H,1H3",pkb,10.8,,,,,B2,,,"1,2,4-Triazole, 1-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6597,Cc1nc[nH]n1,"InChI=1S/C3H5N3/c1-3-4-2-5-6-3/h2H,1H3,(H,4,5,6)",pkb,10.32,,C=0.01M,,,B2,,,"1,2,4-Triazole, 3-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6598,Cn1cnnc1,"InChI=1S/C3H5N3/c1-6-2-4-5-3-6/h2-3H,1H3",pkb,10.6,,,,,B2,,,"1,2,4-Triazole, 4-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6651,COc1cc(NCCCC(C)N)c2ncccc2c1,"InChI=1S/C15H21N3O/c1-11(16)5-3-7-17-14-10-13(19-2)9-12-6-4-8-18-15(12)14/h4,6,8-11,17H,3,5,7,16H2,1-2H3",pkb1,3.7,,,E,,E25,,,"quinoline, 8-[(4-amino-4-methylbutyl)amino]-6-methoxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6651,COc1cc(NCCCC(C)N)c2ncccc2c1,"InChI=1S/C15H21N3O/c1-11(16)5-3-7-17-14-10-13(19-2)9-12-6-4-8-18-15(12)14/h4,6,8-11,17H,3,5,7,16H2,1-2H3",pkb2,10.7,,,E,,E25,,,"quinoline, 8-[(4-amino-4-methylbutyl)amino]-6-methoxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp6776,NNc1nncc2ccccc12,"InChI=1S/C8H8N4/c9-11-8-7-4-2-1-3-6(7)5-10-12-8/h1-5H,9H2,(H,11,12)",pkb,6.9,,I=0.1(KCl),E,,E25,,,"phthalazine, 1-hydrazino-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1']",4,,perrin_supp,,B,,
perrin_supp7377,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,"InChI=1S/C23H30ClN3O/c1-5-27(6-2)13-7-8-16(3)25-23-19-11-9-17(24)14-22(19)26-21-12-10-18(28-4)15-20(21)23/h9-12,14-16H,5-8,13H2,1-4H3,(H,25,26)",pkb1,4.1,,,E,,E25,,,"acridine, 3-chloro-7-methoxy-9-(1-methyl-4-diethylaminobutylamino)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp7377,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,"InChI=1S/C23H30ClN3O/c1-5-27(6-2)13-7-8-16(3)25-23-19-11-9-17(24)14-22(19)26-21-12-10-18(28-4)15-20(21)23/h9-12,14-16H,5-8,13H2,1-4H3,(H,25,26)",pkb2,7.5,,,E,,E25,,,"acridine, 3-chloro-7-methoxy-9-(1-methyl-4-diethylaminobutylamino)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp7428,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,"InChI=1S/C21H24ClN3OS/c22-16-6-7-20-18(14-16)25(17-4-1-2-5-19(17)27-20)11-3-10-24-12-8-15(9-13-24)21(23)26/h1-2,4-7,14-15H,3,8-13H2,(H2,23,26)",pkb,5.4,not_stated,,E3dg,Uncertain,C10,,,"phenothiazine, 10-[N-(4-carbamoyl)piperidinyl]propyl-2-chloro-",['manual_no_smiles'],1,,perrin_supp,,B,,
perrin_supp7429,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,"InChI=1S/C17H19ClN2S/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20/h3-4,6-9,12H,5,10-11H2,1-2H3",pkb,4.78,not_stated,,E3dg,Uncertain,C10,,,"phenothiazine, 2-chloro-10-(3-dimethylaminopropyl)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp7431,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,"InChI=1S/C20H24ClN3S/c1-22-11-13-23(14-12-22)9-4-10-24-17-5-2-3-6-19(17)25-20-8-7-16(21)15-18(20)24/h2-3,5-8,15H,4,9-14H2,1H3",pkb1,6.46,not_stated,,E3dg,Uncertain,C10,,,"phenothiazine, 2-chloro-10-(N-methyl)piperazinylpropyl-",['manual_no_smiles'],1,,perrin_supp,,B,,
