unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,cosolvent
perrin2074,FC(F)(F)c1ccc2cccnc2c1,"InChI=1S/C10H6F3N/c11-10(12,13)8-4-3-7-2-1-5-14-9(7)6-8/h1-6H",pkb,10.84,,No details,"E, quinh.",Uncertain,P45,,,"quinoline, 7-trifluoromethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2101,c1ccc2[nH]cnc2c1,"InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)",pkb1,8.6,,C=0.01,E,,E15,," Other measurement: T5
For pKs of substituted benzimidazoles in 50% dioxan at 25 deg. C, see refs. L3, L7, L8; for pKs in 28.5% ethanol, see ref. 136",Benzimidazole,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin2103,Nc1cccc2[nH]cnc12,"InChI=1S/C7H7N3/c8-5-2-1-3-6-7(5)10-4-9-6/h1-4H,8H2,(H,9,10)",pkb1,8.7,,,E,,E15,,,"benzimidazole, 4-amino-",['manual_inconsistent'],1,,perrin,,B,,
perrin2103,Nc1cccc2[nH]cnc12,"InChI=1S/C7H7N3/c8-5-2-1-3-6-7(5)10-4-9-6/h1-4H,8H2,(H,9,10)",pkb2,12.5,,,E,,E15,,,"benzimidazole, 4-amino-",['manual_inconsistent'],1,,perrin,,B,,
perrin2104,Nc1ccc2[nH]cnc2c1,"InChI=1S/C7H7N3/c8-5-1-2-6-7(3-5)10-4-9-6/h1-4H,8H2,(H,9,10)",pkb2,10.7,,"C=0.005, as dihydrochloride",E,,E15,,,"benzimidazole, 5-amino-",['manual_inconsistent'],1,,perrin,,B,,
perrin2104,Nc1ccc2[nH]cnc2c1,"InChI=1S/C7H7N3/c8-5-1-2-6-7(3-5)10-4-9-6/h1-4H,8H2,(H,9,10)",pkb1,7.4,,"C=0.005, as dihydrochloride",E,,E15,,,"benzimidazole, 5-amino-",['manual_inconsistent'],1,,perrin,,B,,
perrin2105,Nc1cccc2[nH]c(Cc3ccccc3)nc12,"InChI=1S/C14H13N3/c15-11-7-4-8-12-14(11)17-13(16-12)9-10-5-2-1-3-6-10/h1-8H,9,15H2,(H,16,17)",pkb1,8.6,,,E,,E13,,,"benzimidazole, 4-amino-2-benzyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2105,Nc1cccc2[nH]c(Cc3ccccc3)nc12,"InChI=1S/C14H13N3/c15-11-7-4-8-12-14(11)17-13(16-12)9-10-5-2-1-3-6-10/h1-8H,9,15H2,(H,16,17)",pkb2,11.9,,,E,,E13,,,"benzimidazole, 4-amino-2-benzyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2106,Nc1ccc2[nH]c(Cc3ccccc3)nc2c1,"InChI=1S/C14H13N3/c15-11-6-7-12-13(9-11)17-14(16-12)8-10-4-2-1-3-5-10/h1-7,9H,8,15H2,(H,16,17)",pkb1,7.6,,,E,,E13,,,"benzimidazole, 5-amino-2-benzyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2106,Nc1ccc2[nH]c(Cc3ccccc3)nc2c1,"InChI=1S/C14H13N3/c15-11-6-7-12-13(9-11)17-14(16-12)8-10-4-2-1-3-5-10/h1-7,9H,8,15H2,(H,16,17)",pkb2,10.7,,,E,,E13,,,"benzimidazole, 5-amino-2-benzyl-",['manual_inconsistent'],1,,perrin,,B,,
