run,note,target,group,excluded_columns,best_model,calibration_qhat,r2,mae,rmse,interval_coverage,mean_interval_width,test_rows
zenodo_random_full,Random row split; useful as a leakage-sensitive upper-bound baseline.,ln_co2_solubility,NONE,NONE,random_forest,0.448977059429589,0.940201181127129,0.16364602503173603,0.29846727649505644,0.9146117040853883,0.8979541188591782,2717.0
zenodo_solvent_holdout_full,Solvent-held-out split with ion identity codes and derived SMILES descriptors.,ln_co2_solubility,solvent_id,NONE,xgboost,0.7360068250630638,0.32256929036419335,0.44646485239737477,0.8873510573931205,0.8596231991134097,1.4720135927200317,2707.0
zenodo_solvent_holdout_structure_only,Solvent-held-out split using operating conditions and derived SMILES descriptors.,ln_co2_solubility,solvent_id,"cation_code,anion_code",xgboost,0.9075411398644668,0.2528966680215763,0.5213572854613853,0.9318657880481419,0.8910232729959364,1.815082311630249,2707.0
zenodo_cation_holdout_no_cation_code,Cation-family holdout; cation identity code withheld from features.,ln_co2_solubility,cation_code,cation_code,hist_gradient_boosting,1.472512960141097,0.5241365728381293,0.42113957273019426,0.8753832667846064,0.9342476805163372,2.9450259202821942,2479.0
zenodo_anion_holdout_no_anion_code,Anion-family holdout; anion identity code withheld from features.,ln_co2_solubility,anion_code,anion_code,xgboost,1.1912870768935948,0.7900710819460394,0.36332852769048735,0.5952888756511041,0.945182444930217,2.3825738430023193,5947.0
