solvent_id,temperature_k,pressure_bar,co2_solubility_mol_frac,cation_code,anion_code,ln_pressure_bar,ln_co2_solubility,cation_smiles,anion_smiles,source_record,source_file
C1540_A0048,343.25,163.2,0.712,C1540,A0048,5.094976442530006,-0.3396773675701613,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,352.85,193.3,0.712,C1540,A0048,5.264243386214285,-0.3396773675701613,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,362.85,224.2,0.712,C1540,A0048,5.4125385106380595,-0.3396773675701613,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,302.95,107.8,0.778,C1540,A0048,4.680277658474897,-0.2510287548037454,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,312.95,166.6,0.778,C1540,A0048,5.115595729732743,-0.2510287548037454,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,323.85,223.3,0.778,C1540,A0048,5.408516158846112,-0.2510287548037454,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,333.85,271.6,0.778,C1540,A0048,5.604330395684541,-0.2510287548037454,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,343.55,312.4,0.778,C1540,A0048,5.744284417965531,-0.2510287548037454,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,303.15,213.4,0.812,C1540,A0048,5.363168338867653,-0.20825493882045903,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,313.05,282.6,0.812,C1540,A0048,5.644032470250427,-0.20825493882045903,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,322.15,328.6,0.812,C1540,A0048,5.794841205603168,-0.20825493882045903,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C0425_A0048,333.3,12.0,0.197,C0425,A0048,2.4849066497880004,-1.6245515502441485,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C0425_A0048,333.3,21.9,0.281,C0425,A0048,3.086486636822455,-1.2694006096483912,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C0425_A0048,333.3,34.4,0.408,C0425,A0048,3.5380565643793527,-0.8964881045779755,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C0425_A0048,333.3,49.9,0.521,C0425,A0048,3.910021002757473,-0.6520052372287701,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C0425_A0048,333.3,63.3,0.591,C0425,A0048,4.147885329150131,-0.5259392615760389,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C0425_A0048,333.3,76.8,0.679,C0425,A0048,4.341204640153626,-0.3871341514234409,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C0425_A0048,333.3,87.0,0.725,C0425,A0048,4.465908118654584,-0.32158362412746233,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,296.95,15.0,0.1389,C1006,A0054,2.70805020110221,-1.974001029221839,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,304.95,16.0,0.1389,C1006,A0054,2.772588722239781,-1.974001029221839,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,312.55,17.0,0.1389,C1006,A0054,2.833213344056216,-1.974001029221839,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,322.95,18.5,0.1389,C1006,A0054,2.917770732084279,-1.974001029221839,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
