il_no,solvent_id,ln_co2_solubility_exp,ln_pressure_mpa,temperature_k,b01_c_c,b03_o_o,b04_n_o,f02_c_c,f04_n_o,h_050,h_053,n_074,ncconj,arr_anion,b02_c_n_anion,b03_n_o_anion,c_025_anion,f03_n_o_anion,f05_n_o_anion,f06_o_o_anion,h_051_anion,nbo_anion,reference,pressure_mpa,co2_solubility_mol_frac,source_sheet,source_file
IL1,[BzMIM][NO3],-2.0572887370387027,0.604862266,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.8310000005632638,0.1278,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.8438952236485835,0.875885317,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.400999999425882,0.1582,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.6414447085691868,1.098945566,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.000999998624852,0.1937,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.516403046466911,1.268636318,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.5560000012387034,0.21950000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.367668896996726,1.456985789,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],4.292999998959275,0.2547,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.3925098005220327,0.324977857,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.3839999997294588,0.09140000000000001,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.0923241675108497,0.654406352,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.9239999995314776,0.12339999999999998,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.870802676568508,0.923861997,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.518999999066778,0.154,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.6702500518308578,1.149305403,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.156000000051671,0.18819999999999998,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.5371172508544744,1.317747819,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.7350000015508447,0.21499999999999997,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.3862943611198906,1.508069418,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],4.517999999793024,0.25,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.5005835075220182,1.085189268,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],2.9599999990055315,0.22300000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.5005835075220182,1.202972304,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],3.3300000000254664,0.22300000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.5005835075220182,1.316408234,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],3.730000001284149,0.22300000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.5005835075220182,1.435084525,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],4.199999998784845,0.22300000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.5005835075220182,1.547562509,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],4.70000000133474,0.22300000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.5005835075220182,1.646733697,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],5.189999999077232,0.22300000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.1874435023747254,1.432700734,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],4.190000000276346,0.305,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.1874435023747254,1.564440547,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],4.780000002373917,0.305,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.1874435023747254,1.680827909,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],5.370000002573447,0.305,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
