model,r2,mae,rmse
random_forest,0.940201181127129,0.16364602503173606,0.29846727649505644
hist_gradient_boosting,0.9381031960115822,0.15031432207002404,0.303657863578539
xgboost,0.9313217823816463,0.1933694842937909,0.31985999597013165
ridge,0.8869236274519345,0.24964820075755775,0.41042740684719053
dummy_mean,-0.0014112607532656973,0.9032994739477357,1.2213964545710783
