scope,task,model,n,r2,r2_lo,r2_hi,rmse,rmse_lo,rmse_hi,spearman,spearman_lo,spearman_hi,cv_r2_mean,cv_r2_se,set
in_distribution,acidic,qlattice,765,0.44789232028294723,0.39488221751826336,0.50024019972359,2.5193835880305375,2.343221499557998,2.6963787399072334,0.667042805976667,0.6229104351162253,0.7084837614647146,0.453061799288226,0.018773894226264836,
in_distribution,basic,qlattice,843,0.4697048166668233,0.40432480928399206,0.5302606627246851,2.365147837665481,2.181521558774269,2.558048302583444,0.702496421611826,0.660855018435493,0.7398852347686276,0.4194969541649756,0.028029160786965397,
external_set,acidic,qlattice,112,0.22192588425890258,0.04323702215742154,0.3769871066299181,2.2498842328875983,1.9545462858608191,2.5190117822677918,0.4294068442824473,0.2646523863152053,0.5663435644655939,,,novartis_acidic
external_set,acidic,lightgbm,112,0.5326031334879565,0.34562762820225584,0.6787145322847127,1.7437835905466224,1.4535452642684323,2.019275852422748,0.7057094845084759,0.5989126554763581,0.7892401705415508,,,novartis_acidic
external_set,acidic,random_forest,112,0.4154574833032597,0.1334644043442118,0.6284411011302207,1.9501038548868384,1.5401373304085009,2.3381429867515235,0.7308096547845631,0.6183769486227417,0.8154419504443621,,,novartis_acidic
external_set,acidic,y_random_lightgbm,112,-0.1744575743287633,-0.38424547155452254,-0.03463593250567025,2.7641929490062593,2.5196663350831012,2.9979675488501836,0.08678695702846535,-0.09087549859439012,0.25841897577596085,,,novartis_acidic
external_set,acidic,qlattice,26,0.1305290578922107,-1.105531402951397,0.5596721221782139,0.8356951359723708,0.5857189139598868,1.07429486341964,0.5765611718256438,0.18828192597756158,0.8510103731887977,,,AvLiLuMoVe_123_acidic
external_set,acidic,lightgbm,26,-3.0210337908400344,-9.940999242542977,-0.360151032802361,1.7971701624877272,1.0294083856618799,2.4065601294395753,0.40444825228362663,0.0017131128422987931,0.7049722013502083,,,AvLiLuMoVe_123_acidic
external_set,acidic,random_forest,26,-3.22246206973917,-12.648000260631434,-0.03136501320830472,1.84163354416093,0.9238871568426777,2.707693810875577,0.40547477069043786,0.025855780381388038,0.7063294638444435,,,AvLiLuMoVe_123_acidic
external_set,acidic,y_random_lightgbm,26,-11.07449469700027,-27.653615172442194,-5.408629717925942,3.1142596639904254,2.5161931819458814,3.648457676643226,-0.05440547556099547,-0.4085548350463276,0.32077619818810893,,,AvLiLuMoVe_123_acidic
external_set,acidic,qlattice,20,-0.29790665055346577,-1.5620205209111329,0.12384819515113085,2.676058575589786,2.1117020202060695,3.186358235534968,0.11733735316441857,-0.32362129647367766,0.5744743600849582,,,SAMPL7_acidic
