iter	Passed	Remaining
410	4163	3940
411	4173	3930
412	4183	3919
413	4192	3908
414	4203	3899
415	4212	3888
416	4222	3878
417	4232	3867
418	4241	3857
419	4251	3846
420	4261	3836
421	4270	3825
422	4280	3815
423	4290	3804
424	4300	3794
425	4310	3783
426	4320	3774
427	4330	3763
428	4339	3753
429	4349	3742
430	4359	3732
431	4369	3722
432	4379	3711
433	4388	3701
434	4398	3690
435	4408	3680
436	4418	3670
437	4428	3660
438	4438	3650
439	4448	3639
440	4457	3629
441	4467	3618
442	4477	3608
443	4486	3597
444	4496	3587
445	4506	3576
446	4515	3566
447	4526	3556
448	4536	3546
449	4546	3536
450	4556	3526
451	4565	3515
452	4575	3504
453	4585	3494
454	4595	3484
455	4605	3474
456	4615	3464
457	4625	3453
458	4636	3444
459	4646	3434
460	4657	3424
461	4668	3415
462	4677	3404
463	4687	3394
464	4696	3383
465	4707	3373
466	4716	3363
467	4727	3353
468	4736	3342
469	4746	3332
470	4756	3322
471	4766	3312
472	4775	3301
473	4785	3291
474	4796	3281
475	4806	3271
476	4816	3261
477	4826	3251
478	4835	3240
479	4845	3230
480	4855	3220
481	4865	3209
482	4875	3199
483	4885	3189
484	4895	3179
485	4904	3169
486	4914	3158
487	4924	3148
488	4934	3138
489	4944	3127
490	4953	3117
491	4963	3107
492	4973	3097
493	4983	3087
494	4993	3076
495	5003	3066
496	5013	3056
497	5023	3046
498	5033	3036
499	5043	3026
500	5053	3015
501	5063	3005
502	5073	2995
503	5082	2985
504	5092	2975
505	5103	2965
506	5113	2955
507	5123	2945
508	5134	2935
509	5144	2925
510	5154	2915
511	5164	2905
512	5175	2895
513	5184	2885
514	5195	2875
515	5205	2864
516	5215	2854
517	5224	2844
518	5234	2834
519	5245	2824
520	5255	2814
521	5265	2804
522	5275	2793
523	5285	2783
524	5295	2773
525	5305	2763
526	5315	2753
527	5325	2743
528	5334	2732
529	5344	2722
530	5354	2712
531	5364	2702
532	5374	2692
533	5384	2682
534	5395	2672
535	5405	2662
536	5415	2652
537	5425	2641
538	5435	2631
539	5445	2621
540	5455	2611
541	5466	2601
542	5475	2591
543	5485	2581
544	5495	2571
545	5505	2561
546	5515	2551
547	5525	2541
548	5535	2530
549	5545	2520
550	5555	2510
551	5565	2500
552	5575	2490
553	5585	2480
554	5595	2470
555	5605	2460
556	5615	2449
557	5625	2439
558	5636	2430
559	5646	2420
560	5657	2410
561	5667	2400
562	5677	2390
563	5687	2379
564	5696	2369
565	5706	2359
566	5716	2348
567	5726	2338
568	5736	2328
569	5746	2318
570	5756	2308
571	5767	2298
572	5777	2288
573	5787	2278
574	5797	2268
575	5807	2258
576	5816	2248
577	5826	2237
578	5836	2227
579	5845	2217
580	5855	2207
581	5865	2196
582	5874	2186
583	5884	2176
584	5893	2166
585	5903	2155
586	5913	2145
587	5923	2135
588	5933	2125
589	5942	2115
590	5953	2105
591	5962	2095
592	5972	2084
593	5982	2074
594	5992	2064
595	6003	2054
596	6012	2044
597	6023	2034
598	6033	2024
599	6044	2014
600	6054	2004
601	6064	1994
602	6074	1984
603	6084	1974
604	6094	1964
605	6103	1954
606	6113	1943
607	6123	1933
608	6133	1923
609	6143	1913
610	6153	1903
611	6163	1893
612	6172	1883
613	6182	1872
614	6192	1862
615	6202	1852
616	6212	1842
617	6222	1832
618	6231	1822
619	6241	1812
620	6251	1801
621	6261	1791
622	6271	1781
623	6281	1771
624	6291	1761
625	6302	1751
626	6312	1741
627	6322	1731
628	6332	1721
629	6342	1711
630	6351	1701
631	6362	1691
632	6371	1681
633	6381	1670
634	6391	1660
635	6401	1650
636	6411	1640
637	6421	1630
638	6431	1620
639	6441	1610
640	6451	1600
641	6461	1590
642	6472	1580
643	6481	1570
644	6491	1559
645	6501	1549
646	6511	1539
647	6520	1529
648	6530	1519
649	6540	1509
650	6550	1499
651	6560	1489
652	6570	1479
653	6579	1468
654	6589	1458
655	6599	1448
656	6609	1438
657	6620	1428
658	6632	1419
659	6644	1409
660	6655	1399
661	6665	1389
662	6675	1379
663	6685	1369
664	6695	1359
665	6705	1349
666	6715	1339
667	6725	1328
668	6734	1318
669	6744	1308
670	6755	1298
671	6765	1288
672	6774	1278
673	6784	1268
674	6793	1258
675	6804	1248
676	6814	1238
677	6824	1228
678	6834	1217
679	6844	1207
680	6853	1197
681	6864	1187
682	6874	1177
683	6883	1167
684	6893	1157
685	6903	1147
686	6914	1137
687	6923	1127
688	6933	1117
689	6943	1107
690	6953	1096
691	6963	1086
692	6973	1076
693	6984	1066
694	6994	1056
695	7004	1046
696	7014	1036
697	7024	1026
698	7034	1016
699	7044	1006
700	7053	996
701	7063	986
702	7073	975
703	7084	966
704	7094	956
705	7104	945
706	7114	935
707	7124	925
708	7134	915
709	7143	905
710	7153	895
711	7163	885
712	7173	875
713	7183	865
714	7193	855
715	7202	844
716	7212	834
717	7222	824
718	7231	814
719	7241	804
720	7251	794
721	7261	784
722	7272	774
723	7281	764
724	7291	754
725	7301	744
726	7312	734
727	7322	724
728	7332	714
729	7342	704
730	7352	694
731	7362	683
732	7372	673
733	7381	663
734	7391	653
735	7401	643
736	7411	633
737	7421	623
738	7431	613
739	7441	603
740	7452	593
741	7462	583
742	7471	573
743	7482	563
744	7492	553
745	7502	543
746	7512	533
747	7522	522
748	7532	512
749	7542	502
750	7552	492
751	7562	482
752	7572	472
753	7582	462
754	7592	452
755	7602	442
756	7612	432
757	7623	422
758	7634	412
759	7644	402
760	7654	392
761	7664	382
762	7674	372
763	7684	362
764	7694	352
765	7704	341
766	7715	331
767	7725	321
768	7735	311
769	7746	301
770	7755	291
771	7765	281
772	7775	271
773	7785	261
774	7795	251
775	7805	241
776	7814	231
777	7825	221
778	7835	211
779	7845	201
780	7856	191
781	7867	181
782	7877	171
783	7888	160
784	7897	150
785	7907	140
786	7917	130
787	7927	120
788	7936	110
789	7946	100
790	7956	90
791	7965	80
792	7975	70
793	7985	60
794	7995	50
795	8005	40
796	8015	30
797	8024	20
798	8035	10
799	8045	0
