top_k,cv_r2_mean,cv_r2_std,folds
4,0.016833601183488894,0.02701329915041876,"[-0.029588852967758816, 0.03202375110016331, 0.027687400618337632, 0.03721210598321345]"
6,0.29191182074109945,0.05956538386552673,"[0.32069760728552066, 0.30901969384662054, 0.1914481379324634, 0.3464818438997933]"
8,0.42321101369657427,0.09139982083863932,"[0.5014279219032125, 0.41278318604871855, 0.2777561647115778, 0.5008767821227882]"
