top_k,cv_r2_mean,cv_r2_std,folds
4,0.057551856037745985,0.04595778290921439,"[0.1014826982605489, 0.0038706528001963836, 0.10479061754535501, 0.020063455544883646]"
6,0.24320812154405289,0.03136850589540622,"[0.18893456976331624, 0.2621957091987557, 0.2589489852554232, 0.2627532219587164]"
8,0.4264908978072533,0.08412198025027588,"[0.3129240961595847, 0.49107892698704836, 0.5218235554890502, 0.3801370125933299]"
