top_k,cv_r2_mean,cv_r2_std,folds
4,0.05236603745191612,0.2872257968396655,"[0.27544447737835387, 0.13493304282967666, 0.23622102688220137, -0.4371343972825674]"
6,0.12266010049148826,0.1642220648221681,"[0.30614556626633893, 0.05982100845963212, 0.23979409847193833, -0.11512027123195634]"
8,0.17652093055263132,0.07473648402103159,"[0.2771660214343684, 0.0821122039880341, 0.21390139087262838, 0.1329041059154944]"
