top_k,cv_r2_mean,cv_r2_std,folds
4,0.12854932699551655,0.05066463270572522,"[0.1556872714735832, 0.15290671170614678, 0.1644943902718895, 0.04110893453044673]"
6,0.19611112571109263,0.07419287660003512,"[0.10661759560440531, 0.2631922980732041, 0.27535479148025555, 0.13927981768650555]"
8,0.2856509419940746,0.06375281354884407,"[0.20433924586622731, 0.3220703329915128, 0.3685622144376114, 0.247631974680947]"
