top_k,cv_r2_mean,cv_r2_std,folds
8,0.3792450948599835,0.059316072486656414,"[0.345200850035702, 0.40023316176829093, 0.4644778354336123, 0.30706853220232855]"
12,0.4194969541649756,0.05605832157393079,"[0.36623335215180286, 0.4483394461626691, 0.49729350508455683, 0.3661215132608737]"
20,0.4110722227390996,0.05606584622652196,"[0.35182045691756836, 0.43379537524892875, 0.4921028947676228, 0.3665701640222784]"
