iter	RMSE
271	1.348229978
272	1.347389468
273	1.345777808
274	1.342774023
275	1.341796497
276	1.34083979
277	1.338716535
278	1.336707262
279	1.334173169
280	1.332729112
281	1.330351545
282	1.327852485
283	1.325579751
284	1.324057493
285	1.321014401
286	1.318794123
287	1.317264728
288	1.316230239
289	1.314722067
290	1.312900525
291	1.31106362
292	1.308545253
293	1.305715154
294	1.304649876
295	1.30332954
296	1.301019152
297	1.298297866
298	1.295863845
299	1.294191882
300	1.291531938
301	1.289331539
302	1.287834407
303	1.285339438
304	1.283134247
305	1.280818837
306	1.278867755
307	1.276858956
308	1.274812802
309	1.274011244
310	1.271055084
311	1.268735086
312	1.267203544
313	1.265353214
314	1.264439864
315	1.261433745
316	1.260337741
317	1.259716523
318	1.257692612
319	1.25656158
320	1.25409983
321	1.253300222
322	1.250800305
323	1.249189159
324	1.247345175
325	1.245555867
326	1.243054697
327	1.240520418
328	1.238266889
329	1.236028334
330	1.233368518
331	1.232633962
332	1.230499233
333	1.227977544
334	1.226421741
335	1.224178104
336	1.222315562
337	1.220418212
338	1.218436983
339	1.217532004
340	1.215655116
341	1.21434062
342	1.212803542
343	1.211928759
344	1.211288491
345	1.209780999
346	1.207500707
347	1.205534903
348	1.203299224
349	1.202400793
350	1.201217139
351	1.199828341
352	1.197762373
353	1.195945318
354	1.193175947
355	1.19246282
356	1.190201378
357	1.188433233
358	1.186916127
359	1.184672238
360	1.18179876
361	1.181172856
362	1.180533962
363	1.178614557
364	1.177070629
365	1.175636268
366	1.173551585
367	1.171856352
368	1.170767332
369	1.168258205
370	1.16758842
371	1.165769482
372	1.163903994
373	1.162096013
374	1.159599699
375	1.15834877
376	1.157831561
377	1.156326551
378	1.154718381
379	1.153146114
380	1.151665296
381	1.151012454
382	1.149356252
383	1.14879804
384	1.146548805
385	1.144718188
386	1.14372047
387	1.142763234
388	1.141243674
389	1.139018992
390	1.137617701
391	1.136170345
392	1.134318449
393	1.133068398
394	1.132509895
395	1.130870216
396	1.129762914
397	1.128464928
398	1.126949213
399	1.12459682
400	1.122330368
401	1.120957571
402	1.119505665
403	1.11783974
404	1.11628906
405	1.11517113
406	1.114095896
407	1.112763901
408	1.111776437
409	1.109988945
410	1.108378303
411	1.107785921
412	1.106598389
413	1.104868313
414	1.103719667
415	1.10249526
416	1.101213941
417	1.099273815
418	1.097629452
419	1.096357238
420	1.094858927
421	1.09287081
422	1.091122737
423	1.089893898
424	1.08870086
425	1.087621559
426	1.086229541
427	1.084893768
428	1.082972842
429	1.081537721
430	1.080549
431	1.078933036
432	1.0784449
433	1.078049978
434	1.077299808
435	1.075839519
436	1.07469513
437	1.073409131
438	1.072203812
439	1.070999446
440	1.069717971
441	1.068976014
442	1.067664304
443	1.066278392
444	1.064794263
445	1.06318723
446	1.062283027
447	1.061108283
448	1.060700656
449	1.059096289
450	1.057951012
451	1.056331403
452	1.056023324
453	1.054942641
454	1.053763391
455	1.052737342
456	1.051355614
457	1.04991686
458	1.048829571
459	1.047050971
460	1.045614919
461	1.04442754
462	1.043563681
463	1.042767146
464	1.041867002
465	1.040607575
466	1.03926386
467	1.038028154
468	1.036966242
469	1.035505789
470	1.033640742
471	1.032499612
472	1.031190931
473	1.029583453
474	1.028701376
475	1.027479598
476	1.026046881
477	1.024706607
478	1.022731536
479	1.022086987
480	1.020958292
481	1.019452279
482	1.018213522
483	1.016886271
484	1.015745954
485	1.014978119
486	1.014071213
487	1.013197317
488	1.012241739
489	1.010815368
490	1.00938252
491	1.008767412
492	1.007766684
493	1.00590578
494	1.004478634
495	1.003266154
496	1.002434442
497	1.001600277
498	0.9999397831
499	0.9985278955
500	0.9981741292
501	0.9963777712
502	0.9949577585
503	0.9940811081
504	0.9931654942
505	0.9916523146
506	0.9902959606
507	0.9899895143
508	0.9889275975
509	0.9881222372
510	0.9875835333
511	0.9862203078
512	0.9853702157
513	0.9843879454
514	0.9835909242
515	0.9819353519
516	0.9808264899
517	0.9805316987
518	0.9794648193
519	0.977940473
520	0.9767552156
521	0.9755605936
522	0.9747102438
523	0.9734897648
524	0.9720276608
525	0.9705761472
526	0.9694168183
527	0.9682076505
528	0.9669961798
529	0.9658703282
530	0.964718626
531	0.9632279752
532	0.962336972
533	0.9619213794
534	0.9601314513
535	0.9590337292
536	0.9580079883
537	0.957469671
538	0.9564412197
539	0.9549619258
540	0.9543465232
541	0.9526733418
542	0.9519753055
543	0.9512591072
544	0.9506511657
545	0.9493791739
546	0.9481125656
547	0.9468168926
548	0.9453482778
549	0.9440694526
550	0.9427205064
551	0.94177257
552	0.9404762939
553	0.9389419
554	0.9384243467
555	0.9370979254
556	0.9360178213
557	0.9351578916
558	0.9341887618
559	0.9333304446
560	0.9319970957
561	0.9305976169
562	0.9295355181
563	0.9287647758
564	0.928042586
565	0.9272303123
566	0.9269859713
567	0.9258395969
568	0.9250313502
569	0.9237034211
570	0.9229686454
571	0.9223709029
572	0.9213546554
573	0.9201590822
574	0.9195688604
575	0.9190755166
576	0.9178158817
577	0.917086991
578	0.9157148473
579	0.9155006143
580	0.9144757602
581	0.913887501
582	0.9132217041
583	0.9126928019
584	0.9118458566
585	0.9116638079
586	0.9101445254
587	0.9093918742
588	0.9085289446
589	0.9073025987
590	0.9062947302
591	0.9060721544
592	0.9059073614
593	0.9048546305
594	0.9042904215
595	0.9034891553
596	0.9027362571
597	0.9019475348
598	0.9008547104
599	0.9000993324
600	0.8992942529
601	0.8982869314
602	0.8973114073
603	0.8965860714
604	0.8958118913
605	0.8949291158
606	0.8938638926
607	0.893177692
608	0.8920817258
609	0.8916195227
610	0.8902851042
611	0.8896801604
612	0.8887754505
613	0.8878566021
614	0.8867121082
615	0.8861110229
616	0.8854441217
617	0.8844174083
618	0.8840400968
619	0.8830773984
620	0.8822170765
621	0.8813271663
622	0.8803799929
623	0.8794794601
624	0.8784088685
625	0.8775245176
626	0.8771980747
627	0.8766092796
628	0.8756511028
629	0.8748462463
630	0.8740204473
631	0.8730656234
632	0.8719751987
633	0.8709274507
634	0.8702069211
635	0.8696908999
636	0.8685293462
637	0.8675674282
638	0.8665429293
639	0.866208952
640	0.8653572678
641	0.864761672
642	0.8638441129
643	0.8625802157
644	0.8618385636
645	0.8610124158
646	0.8605530206
647	0.8601439437
648	0.8588992694
649	0.8579352075
650	0.8563564246
651	0.855820391
652	0.8553787774
653	0.8547710485
654	0.8546150316
655	0.8536406584
656	0.8531445723
657	0.8521890932
658	0.8516872919
659	0.8508021667
660	0.8495261558
661	0.8491803444
662	0.8486272642
663	0.8475738706
664	0.8470858406
665	0.8451925293
666	0.8443465691
667	0.8434772255
668	0.8431131671
669	0.841989704
670	0.8411360499
671	0.8402358197
672	0.8398530008
673	0.8395705078
674	0.8390059656
675	0.8380682584
676	0.8371695019
677	0.8367974109
678	0.8357910525
679	0.8349138625
680	0.8347565537
681	0.8337693654
682	0.8327960866
683	0.8322408669
684	0.8315757258
685	0.8305025969
686	0.830182569
687	0.8292523422
688	0.8286456864
689	0.8273167847
690	0.8264351083
691	0.8259043697
692	0.8254895197
693	0.8243934916
694	0.8233436125
695	0.8224588535
696	0.8215768703
697	0.8206868634
698	0.8199272356
699	0.8190660326
700	0.8188964274
701	0.8182984223
702	0.817469133
703	0.815984855
704	0.8152856867
705	0.8148786211
706	0.8140616555
707	0.8130078805
708	0.8127652935
709	0.8126539065
710	0.8123152827
711	0.8120284216
712	0.8112286737
713	0.8102645776
714	0.8101549679
715	0.810032204
716	0.8097170553
717	0.8088755839
718	0.8087370753
719	0.8076424907
720	0.8063518082
721	0.8055706822
722	0.8046139652
723	0.803712381
724	0.8035061837
725	0.8033792013
726	0.8029569086
727	0.8023384592
728	0.8012631077
729	0.8006026903
730	0.8004089502
731	0.7997835307
732	0.7984679037
733	0.7981967482
734	0.7974402604
735	0.7969389567
736	0.7960622042
737	0.7956857632
738	0.7953086331
739	0.7944059853
740	0.793014952
741	0.7921490132
742	0.7920177409
743	0.790509617
744	0.7900640913
745	0.7890242938
746	0.7874092269
747	0.7870908771
748	0.7868672881
749	0.7856768244
750	0.7849962962
751	0.7848713712
752	0.7841360228
753	0.7838517715
754	0.7832922717
755	0.7829355163
756	0.7822587496
757	0.7815735453
758	0.7808893737
759	0.7800302256
760	0.7790927159
761	0.7784820591
762	0.7777546137
763	0.7771757067
764	0.7764474494
765	0.7756882762
766	0.7748023789
767	0.7736803204
768	0.7725823513
769	0.7719815902
770	0.7714922671
771	0.7712320277
772	0.7705023037
773	0.7700791627
774	0.7691777208
775	0.7688712717
776	0.7680023567
777	0.7662980836
778	0.7653184224
779	0.764324736
780	0.7642250664
781	0.7633547631
782	0.7628416311
783	0.7620925024
784	0.7618504459
785	0.7611742964
786	0.7604947003
787	0.7600327398
788	0.7591400478
789	0.7590333965
790	0.7589457201
791	0.7588078469
792	0.7583067377
793	0.7574787972
794	0.7563664012
795	0.7555801119
796	0.7550413311
797	0.7544882391
798	0.7537185756
799	0.752952197
