top_k,cv_r2_mean,cv_r2_std,folds
4,0.36057495393694794,0.10237812350257336,"[0.22277424256687794, 0.45587625765466266, 0.4622940504470482, 0.30135526507920296]"
6,0.4177833862203275,0.1372450236857571,"[0.2044492565835646, 0.49335684120402223, 0.5722002256951673, 0.40112722139855583]"
8,0.4317636189883053,0.08348165219327806,"[0.37328153609936554, 0.46165027131287806, 0.5536590333186058, 0.3384636352223718]"
