model,r2,mae,rmse
random_forest,0.9441313685138837,0.15664973873064433,0.2884924396499776
hist_gradient_boosting,0.9426149353486526,0.1427142733563591,0.2923814781015657
xgboost,0.9320631262783513,0.1926763321030729,0.31812895479409586
ridge,0.8872206341967627,0.24863688837045334,0.4098880374980495
dummy_mean,-0.0014112607532656973,0.9032994739477357,1.2213964545710783
