,importance
BCUTc-1h,342.0
MID_N,296.0
BCUT2D_MRLOW,266.0
MinPartialCharge,263.0
MID_h,244.0
BCUTi-1h,193.0
AATSC1s,181.0
FilterItLogS,170.0
RPCG,167.0
RNCG,161.0
EState_VSA7,157.0
AMID_N,147.0
MDEO-12,144.0
PEOE_VSA8,133.0
GATS1c,132.0
GATS4pe,131.0
AATSC4i,128.0
qed,119.0
PEOE_VSA9,119.0
BCUT2D_LOGPLOW,115.0
AATSC7i,114.0
MATS1se,111.0
JGI5,103.0
ATSC0c,102.0
MATS2c,100.0
PEOE_VSA1,99.0
GATS1s,99.0
MaxPartialCharge,98.0
GATS4s,98.0
MATS3c,97.0
PEOE_VSA7,94.0
GATS1pe,93.0
GATS4dv,91.0
GATS5c,91.0
VSA_EState7,90.0
GATS4c,90.0
MATS1s,88.0
AATSC2c,87.0
GATS7m,84.0
BCUTc-1l,83.0
ETA_epsilon_5,82.0
SlogP_VSA2,81.0
AATS1i,81.0
IC2,80.0
BCUTs-1l,80.0
AATS2se,80.0
BCUT2D_MWHI,80.0
MINaasN,79.0
MATS1c,79.0
GATS5s,79.0
PEOE_VSA11,79.0
VSA_EState2,78.0
AATS5p,76.0
GATS5pe,75.0
GATS5m,74.0
BCUT2D_CHGLO,74.0
ATSC4c,71.0
BCUTd-1l,71.0
MINaaaC,70.0
ATSC2c,70.0
BCUT2D_LOGPHI,70.0
MinAbsEStateIndex,69.0
AATS2i,69.0
JGI3,69.0
MATS4pe,68.0
ATSC1s,68.0
MATS5Z,66.0
AATSC2v,66.0
SPS,66.0
AATSC6dv,65.0
GATS6c,65.0
MINsCH3,65.0
TIC2,65.0
MINsssN,64.0
SlogP_VSA1,64.0
FpDensityMorgan3,64.0
MATS5s,63.0
ATSC4s,63.0
SMR_VSA4,63.0
GATS1dv,62.0
BCUT2D_CHGHI,62.0
AATSC5s,62.0
MATS4c,61.0
MAXaasC,61.0
AATSC4dv,61.0
NdNH,61.0
nBase,61.0
AATS4i,60.0
AATSC5v,60.0
GATS7pe,60.0
AATSC2i,60.0
MATS4s,60.0
MATS6c,60.0
ATSC5dv,60.0
AATS5v,59.0
MATS5c,59.0
ATSC1i,58.0
MINtsC,57.0
ATSC3c,57.0
GATS1m,57.0
MAXsCH3,57.0
MinEStateIndex,57.0
BCUT2D_MWLOW,57.0
AATS3i,56.0
VSA_EState4,56.0
GATS4m,56.0
PEOE_VSA12,56.0
AATSC0c,55.0
AATSC5c,55.0
ATSC6c,55.0
AATSC2dv,55.0
GATS4i,55.0
MATS7s,54.0
ZMIC1,54.0
AATSC4c,54.0
AATSC3s,54.0
VSA_EState3,54.0
GATS2s,54.0
MDEC-13,54.0
AATSC0p,53.0
PEOE_VSA6,53.0
MINaaCH,53.0
BCUTdv-1l,53.0
AATSC2d,53.0
SpMAD_Dzp,53.0
nBondsD,53.0
EState_VSA4,52.0
GATS7c,52.0
AATSC2pe,52.0
ATSC6m,52.0
AXp-3d,52.0
GATS2c,52.0
ETA_dBeta,52.0
ZMIC2,52.0
AATSC6i,51.0
ATSC2i,51.0
MATS3s,51.0
BIC2,51.0
ATSC5c,51.0
GATS7s,50.0
BCUT2D_MRHI,50.0
IC1,50.0
SpMAD_Dt,50.0
GATS2i,49.0
MATS5dv,49.0
MATS7m,49.0
Mi,48.0
AATSC1c,48.0
GATS4d,48.0
ATSC5i,48.0
AATSC3c,48.0
JGI4,47.0
FpDensityMorgan2,47.0
FpDensityMorgan1,47.0
GATS2m,47.0
MATS4m,46.0
GATS3s,46.0
MATS1d,46.0
GATS6dv,45.0
GATS3m,45.0
GATS5p,45.0
ATSC3se,45.0
ATSC4se,45.0
MATS5i,45.0
AATS6i,45.0
ATSC4i,45.0
GATS3c,45.0
BCUTp-1l,45.0
IC3,45.0
AATSC4Z,45.0
AATSC4s,44.0
MAXdssC,44.0
AATSC3dv,44.0
GATS2p,44.0
MolLogP,44.0
AATSC6d,43.0
CIC3,43.0
MINaaN,43.0
SMR_VSA10,43.0
AATSC3Z,43.0
GATS3i,43.0
MATS2s,42.0
AATSC0i,42.0
AETA_beta_s,42.0
AATS3d,42.0
SaasC,42.0
ATSC4Z,42.0
ATSC2d,42.0
ATSC3i,42.0
MATS1m,42.0
ATSC1c,41.0
GATS5i,41.0
PEOE_VSA2,41.0
SdssC,41.0
MAXsssN,41.0
SdsN,40.0
ATSC5v,40.0
GATS3d,40.0
SMR_VSA3,40.0
ATSC2pe,40.0
AATSC5p,40.0
SpMAD_A,40.0
MATS2pe,40.0
ZMIC5,40.0
AATSC5Z,40.0
MATS3p,40.0
ATSC3d,40.0
ATSC7i,40.0
VE1_A,39.0
JGI9,39.0
ATSC4pe,39.0
AXp-2d,39.0
MATS1i,39.0
AATSC3p,39.0
AATSC6m,39.0
SdsCH,39.0
MATS2p,39.0
AATS5pe,39.0
GATS3p,39.0
AATS6pe,38.0
ATSC5s,38.0
AATSC3d,38.0
AATS5i,38.0
MATS2d,38.0
MaxAbsEStateIndex,38.0
AATSC2p,38.0
GATS2dv,38.0
VSA_EState8,38.0
ATSC8Z,37.0
MATS2dv,37.0
JGI2,37.0
MATS1dv,37.0
ATSC2dv,37.0
ATSC8s,37.0
AATS7pe,37.0
AATS4Z,37.0
MDEN-23,37.0
GATS4v,37.0
BCUTp-1h,37.0
AATSC1dv,36.0
ATSC5se,36.0
fr_ketone_Topliss,36.0
ATSC0i,36.0
MATS3Z,36.0
AATSC7c,36.0
AXp-6dv,36.0
MINaasC,36.0
ATSC5m,36.0
MAXaaCH,36.0
MATS5are,36.0
MATS7se,36.0
MATS4p,36.0
GATS3v,36.0
AATSC3i,36.0
BCUTse-1l,36.0
AETA_eta_FL,36.0
ATSC8c,35.0
GATS2pe,35.0
ATSC3dv,35.0
SMR_VSA6,35.0
ATSC6i,35.0
AATSC1m,35.0
ATSC6d,35.0
MATS3dv,35.0
ATSC4dv,35.0
GATS4p,35.0
ATSC0s,35.0
GATS6s,35.0
TopoPSA,34.0
AATS3pe,34.0
GATS3dv,34.0
AATSC8i,34.0
ATS2s,34.0
ATSC1are,34.0
ATSC5pe,34.0
SpAbs_Dzm,34.0
AATS3p,34.0
ATSC3p,34.0
Mp,34.0
AATSC3se,34.0
AATS4d,34.0
MATS7p,34.0
AATSC4pe,34.0
RotRatio,34.0
ATSC3s,34.0
MATS3are,34.0
BCUTdv-1h,33.0
EState_VSA5,33.0
fr_ketone,33.0
ATSC3v,33.0
GATS3pe,33.0
AATSC1se,33.0
AATS3s,33.0
EState_VSA8,33.0
bpol,33.0
Kier3,33.0
ETA_shape_p,33.0
GATS6d,33.0
ETA_epsilon_2,33.0
SaaN,32.0
MATS3v,32.0
EState_VSA6,32.0
AMID_C,32.0
AATSC0v,32.0
VSA_EState5,32.0
AATSC2s,32.0
