top_k,cv_r2_mean,cv_r2_std,folds
8,0.38857227887138995,0.030725664308064744,"[0.35592990726951235, 0.36159402055244483, 0.408243432453983, 0.42852175520961966]"
12,0.3997724948303062,0.04205121344118558,"[0.33945622820067967, 0.3864992614871635, 0.4199648321777729, 0.45316965745560844]"
20,0.4256169722108729,0.042329252998440106,"[0.363393811647171, 0.41578783225306926, 0.4442799152569896, 0.479006329686262]"
