top_k,complexity,edge_count,fold,val_r2
8,17,7,0,0.27177344623138133
8,41,21,0,0.288448373041461
8,19,7,0,0.26822686027259013
8,17,11,0,0.27763996426055104
8,46,23,0,0.35592990726951235
8,55,18,0,0.3277041837854827
8,22,9,0,0.2729846244224571
8,21,10,0,0.2728206996644904
8,26,12,0,0.27301162727004535
8,31,13,0,0.2715444056697668
8,35,11,1,0.3280334600853687
8,41,13,1,0.3487820540063802
8,29,10,1,0.31117254908016423
8,17,7,1,0.33983617623779105
8,24,10,1,0.32124876762924726
8,35,13,1,0.33640262577582314
8,17,7,1,0.33455650100098067
8,29,9,1,0.31021435878979553
8,14,9,1,0.3352689843261908
8,41,19,1,0.36159402055244483
8,20,7,2,0.3594557915036334
8,17,7,2,0.3644962587025574
8,26,11,2,0.3467749034280878
8,17,8,2,0.35965868837702697
8,19,7,2,0.36186667158722996
8,17,11,2,0.37415445946214887
8,23,12,2,0.37935177065166426
8,17,7,2,0.35613568210574353
8,22,8,2,0.3559196753982983
8,37,15,2,0.408243432453983
8,19,11,3,0.3966618728222928
8,27,12,3,0.42852175520961966
8,18,12,3,0.4032939686324907
8,26,11,3,0.3969669189372106
8,21,9,3,0.39351085689636345
8,14,9,3,0.3994400732454154
8,10,7,3,0.3891099758125314
8,20,7,3,0.38345440620335625
8,15,5,3,0.38533129215798967
8,13,8,3,0.38477406325808083
12,25,13,0,0.31614455888017556
12,30,15,0,0.2980668706072992
12,15,10,0,0.31703227776699494
12,35,22,0,0.26411535987771884
12,25,11,0,0.29272026582233734
12,28,14,0,0.3061913978888565
12,48,23,0,0.33945622820067967
12,30,11,0,0.29245426091193927
12,13,9,0,0.2893907167635059
12,20,9,0,0.27854983830052826
12,31,15,1,0.38530318971493016
12,36,15,1,0.34185646484722965
12,29,14,1,0.18875997661923782
12,25,11,1,0.3469322348886482
12,19,8,1,0.3367413944084737
12,31,14,1,0.36909600658009833
12,23,11,1,0.34014434103179725
12,23,9,1,0.36336312555805206
12,21,9,1,0.3529218622642376
12,32,16,1,0.3864992614871635
12,26,17,2,0.40500009236047296
12,23,11,2,0.4038086863141631
12,44,19,2,0.4015117447848453
12,24,11,2,0.4199648321777729
12,21,9,2,0.3865620686760637
12,27,12,2,0.4168223481430061
12,21,9,2,0.3836558368542925
12,17,7,2,0.39145466073342117
12,17,7,2,0.3972173910982717
12,32,16,2,0.4125309415603332
12,19,9,3,0.43481482154255124
12,19,9,3,0.43507138540302615
12,27,13,3,0.40930802370672437
12,19,9,3,0.44122195939174225
12,20,7,3,0.4389916782264668
12,22,11,3,0.4415735898203049
12,32,12,3,0.45316965745560844
12,23,9,3,0.42522015711013483
12,24,10,3,0.42682240926201753
12,21,7,3,0.4203779803320079
20,34,16,0,0.3257692277785136
20,15,10,0,0.27476367648511524
20,19,14,0,0.2893098707923448
20,13,9,0,0.30960970543302824
20,17,12,0,0.3059781823044253
20,15,9,0,0.3199977783485739
20,50,21,0,0.363393811647171
20,11,8,0,0.2742583958995152
20,29,11,0,0.3611826676994343
20,13,9,0,0.31078713022910254
20,29,10,1,0.41225901612049354
20,17,12,1,0.40785136200055394
20,16,10,1,0.41496643959739477
20,14,10,1,0.40845107189416485
20,30,17,1,0.39517867301927345
20,18,8,1,0.400235431703864
20,18,7,1,0.4061378475205333
20,27,9,1,0.4122023544293473
20,20,7,1,0.393438145401775
20,22,8,1,0.41578783225306926
20,23,7,2,0.43493967260485455
20,21,9,2,0.4366422058295857
20,43,22,2,0.42020983764987196
20,26,11,2,0.4206111061466262
20,17,10,2,0.4371064876453047
20,23,11,2,0.43705332611087877
20,24,9,2,0.4192806474171391
20,24,7,2,0.43301159938266864
20,26,9,2,0.4442799152569896
20,24,11,2,0.42818248853023133
20,39,19,3,0.4143446942190293
20,18,7,3,0.4673362960499502
20,21,7,3,0.4395314209994132
20,28,14,3,0.46661534464480825
20,16,10,3,0.45555752100872604
20,24,15,3,0.479006329686262
20,24,10,3,0.4781799354273
20,25,11,3,0.4423158697134325
20,23,6,3,0.46279856663714136
20,21,5,3,0.459420252189487
