model,r2,mae,rmse
xgboost,0.4606217011167698,0.3011570325707085,0.3643581423262493
random_forest,0.30944817063961505,0.3470575640638206,0.4122682450734852
ridge,0.27246340332212593,0.3538678571404637,0.4231644413261091
hist_gradient_boosting,-0.10922162931050705,0.433430140374393,0.5225055517658533
dummy_mean,-6.438175770850731,1.258818622867392,1.3530534812257828
