top_k,cv_r2_mean,cv_r2_std,folds
4,0.27244087341213064,0.04818063217605956,"[0.31687375618306446, 0.2009975131381091, 0.25559586075213425, 0.3162963635752146]"
6,0.2255554173379416,0.06895172747393044,"[0.14224544928616167, 0.2548577236277012, 0.18270306312640316, 0.32241543331150035]"
8,0.1556902196467887,0.1685948297005619,"[0.30310128716046847, 0.08685930616032433, 0.3215119763077299, -0.08871169104136789]"
